"Step","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy__MIN","obs_add_history_seed1/12-06_21-31 - train/stats.tracking_error_xy__MAX"
"0","-0.35102832317352295","-0.35102832317352295","-0.35102832317352295"
"1","-0.3392578661441803","-0.3392578661441803","-0.3392578661441803"
"2","-0.34227514266967773","-0.34227514266967773","-0.34227514266967773"
"3","-0.34424328804016113","-0.34424328804016113","-0.34424328804016113"
"4","-0.34766095876693726","-0.34766095876693726","-0.34766095876693726"
"5","-0.3500530421733856","-0.3500530421733856","-0.3500530421733856"
"6","-0.3518178164958954","-0.3518178164958954","-0.3518178164958954"
"7","-0.35908275842666626","-0.35908275842666626","-0.35908275842666626"
"8","-0.36293870210647583","-0.36293870210647583","-0.36293870210647583"
"9","-0.3704606890678406","-0.3704606890678406","-0.3704606890678406"
"10","-0.37662234902381897","-0.37662234902381897","-0.37662234902381897"
"11","-0.3827347457408905","-0.3827347457408905","-0.3827347457408905"
"12","-0.3843982517719269","-0.3843982517719269","-0.3843982517719269"
"14","-0.3963720500469208","-0.3963720500469208","-0.3963720500469208"
"16","-0.4062621295452118","-0.4062621295452118","-0.4062621295452118"
"39","-0.31624963879585266","-0.31624963879585266","-0.31624963879585266"
"63","-0.12135317176580429","-0.12135317176580429","-0.12135317176580429"
"87","-0.09008899331092834","-0.09008899331092834","-0.09008899331092834"
"111","-0.07521075010299683","-0.07521075010299683","-0.07521075010299683"
"135","-0.06249367445707321","-0.06249367445707321","-0.06249367445707321"
"159","-0.05940323695540428","-0.05940323695540428","-0.05940323695540428"
"183","-0.05736706033349037","-0.05736706033349037","-0.05736706033349037"
"205","-0.11440622806549072","-0.11440622806549072","-0.11440622806549072"
"227","-0.14306160807609558","-0.14306160807609558","-0.14306160807609558"
"250","-0.10987958312034607","-0.10987958312034607","-0.10987958312034607"
"253","-0.17494477331638336","-0.17494477331638336","-0.17494477331638336"
"256","-0.2170524150133133","-0.2170524150133133","-0.2170524150133133"
"257","-0.23582413792610168","-0.23582413792610168","-0.23582413792610168"
"258","-0.24108706414699554","-0.24108706414699554","-0.24108706414699554"
"259","-0.23957474529743195","-0.23957474529743195","-0.23957474529743195"
"260","-0.24239251017570496","-0.24239251017570496","-0.24239251017570496"
"261","-0.2448345124721527","-0.2448345124721527","-0.2448345124721527"
"262","-0.24560333788394928","-0.24560333788394928","-0.24560333788394928"
"263","-0.24903684854507446","-0.24903684854507446","-0.24903684854507446"
"264","-0.24995936453342438","-0.24995936453342438","-0.24995936453342438"
"265","-0.2483031153678894","-0.2483031153678894","-0.2483031153678894"
"266","-0.2484503537416458","-0.2484503537416458","-0.2484503537416458"
"267","-0.2490803450345993","-0.2490803450345993","-0.2490803450345993"
"268","-0.24976015090942383","-0.24976015090942383","-0.24976015090942383"
"269","-0.24858996272087097","-0.24858996272087097","-0.24858996272087097"
"270","-0.24979741871356964","-0.24979741871356964","-0.24979741871356964"
"271","-0.24933406710624695","-0.24933406710624695","-0.24933406710624695"
"272","-0.24986909329891205","-0.24986909329891205","-0.24986909329891205"
"274","-0.24477046728134155","-0.24477046728134155","-0.24477046728134155"
"276","-0.23970402777194977","-0.23970402777194977","-0.23970402777194977"
"278","-0.2424115687608719","-0.2424115687608719","-0.2424115687608719"
"279","-0.24594610929489136","-0.24594610929489136","-0.24594610929489136"
"280","-0.24616651237010956","-0.24616651237010956","-0.24616651237010956"
"281","-0.24539241194725037","-0.24539241194725037","-0.24539241194725037"
"282","-0.24540479481220245","-0.24540479481220245","-0.24540479481220245"
"283","-0.24268127977848053","-0.24268127977848053","-0.24268127977848053"
"284","-0.24319662153720856","-0.24319662153720856","-0.24319662153720856"
"285","-0.24489398300647736","-0.24489398300647736","-0.24489398300647736"
"286","-0.24657124280929565","-0.24657124280929565","-0.24657124280929565"
"287","-0.24442730844020844","-0.24442730844020844","-0.24442730844020844"
"288","-0.24607880413532257","-0.24607880413532257","-0.24607880413532257"
"289","-0.24714379012584686","-0.24714379012584686","-0.24714379012584686"
"290","-0.24865849316120148","-0.24865849316120148","-0.24865849316120148"
"291","-0.24964866042137146","-0.24964866042137146","-0.24964866042137146"
"292","-0.24445857107639313","-0.24445857107639313","-0.24445857107639313"
"293","-0.24456685781478882","-0.24456685781478882","-0.24456685781478882"
"294","-0.24445666372776031","-0.24445666372776031","-0.24445666372776031"
"295","-0.24440187215805054","-0.24440187215805054","-0.24440187215805054"
"296","-0.24184715747833252","-0.24184715747833252","-0.24184715747833252"
"297","-0.2427527904510498","-0.2427527904510498","-0.2427527904510498"
"298","-0.24361009895801544","-0.24361009895801544","-0.24361009895801544"
"299","-0.24444319307804108","-0.24444319307804108","-0.24444319307804108"
"300","-0.2472195029258728","-0.2472195029258728","-0.2472195029258728"
"301","-0.2477429360151291","-0.2477429360151291","-0.2477429360151291"
"302","-0.24842576682567596","-0.24842576682567596","-0.24842576682567596"
"303","-0.2483396828174591","-0.2483396828174591","-0.2483396828174591"
"304","-0.24670492112636566","-0.24670492112636566","-0.24670492112636566"
"305","-0.24845927953720093","-0.24845927953720093","-0.24845927953720093"
"306","-0.2498149871826172","-0.2498149871826172","-0.2498149871826172"
"307","-0.24866816401481628","-0.24866816401481628","-0.24866816401481628"
"308","-0.2520899772644043","-0.2520899772644043","-0.2520899772644043"
"309","-0.2566588222980499","-0.2566588222980499","-0.2566588222980499"
"310","-0.25684741139411926","-0.25684741139411926","-0.25684741139411926"
"311","-0.2587863504886627","-0.2587863504886627","-0.2587863504886627"
"312","-0.25939878821372986","-0.25939878821372986","-0.25939878821372986"
"313","-0.2547558844089508","-0.2547558844089508","-0.2547558844089508"
"315","-0.2574061453342438","-0.2574061453342438","-0.2574061453342438"
"317","-0.2573051154613495","-0.2573051154613495","-0.2573051154613495"
"320","-0.2589079439640045","-0.2589079439640045","-0.2589079439640045"
"328","-0.2527407109737396","-0.2527407109737396","-0.2527407109737396"
"333","-0.20255447924137115","-0.20255447924137115","-0.20255447924137115"
"336","-0.23352718353271484","-0.23352718353271484","-0.23352718353271484"
"341","-0.23100267350673676","-0.23100267350673676","-0.23100267350673676"
"357","-0.18426527082920074","-0.18426527082920074","-0.18426527082920074"
"380","-0.08772290498018265","-0.08772290498018265","-0.08772290498018265"
"403","-0.09737473726272583","-0.09737473726272583","-0.09737473726272583"
"425","-0.13109539449214935","-0.13109539449214935","-0.13109539449214935"
"445","-0.09748466312885284","-0.09748466312885284","-0.09748466312885284"
"462","-0.11606056988239288","-0.11606056988239288","-0.11606056988239288"
"484","-0.09758476167917252","-0.09758476167917252","-0.09758476167917252"
"506","-0.1071876659989357","-0.1071876659989357","-0.1071876659989357"
"523","-0.1601705551147461","-0.1601705551147461","-0.1601705551147461"
"545","-0.11312360316514969","-0.11312360316514969","-0.11312360316514969"
"567","-0.11135663092136383","-0.11135663092136383","-0.11135663092136383"
"585","-0.1442173570394516","-0.1442173570394516","-0.1442173570394516"
"603","-0.10720998048782349","-0.10720998048782349","-0.10720998048782349"
"626","-0.08125989139080048","-0.08125989139080048","-0.08125989139080048"
"647","-0.09902974218130112","-0.09902974218130112","-0.09902974218130112"
"665","-0.16149188578128815","-0.16149188578128815","-0.16149188578128815"
"687","-0.1270013004541397","-0.1270013004541397","-0.1270013004541397"
"710","-0.10765743255615234","-0.10765743255615234","-0.10765743255615234"
"732","-0.11710508167743683","-0.11710508167743683","-0.11710508167743683"
"755","-0.09003701061010361","-0.09003701061010361","-0.09003701061010361"
"778","-0.08115563541650772","-0.08115563541650772","-0.08115563541650772"
"800","-0.08914370089769363","-0.08914370089769363","-0.08914370089769363"
"822","-0.06761298328638077","-0.06761298328638077","-0.06761298328638077"
"844","-0.06314406543970108","-0.06314406543970108","-0.06314406543970108"
"866","-0.05220959335565567","-0.05220959335565567","-0.05220959335565567"
"887","-0.06128351017832756","-0.06128351017832756","-0.06128351017832756"
"909","-0.06001940742135048","-0.06001940742135048","-0.06001940742135048"
"931","-0.06733130663633347","-0.06733130663633347","-0.06733130663633347"
"951","-0.08471152186393738","-0.08471152186393738","-0.08471152186393738"
"973","-0.07666762918233871","-0.07666762918233871","-0.07666762918233871"
"997","-0.05612916126847267","-0.05612916126847267","-0.05612916126847267"
"1020","-0.05949840322136879","-0.05949840322136879","-0.05949840322136879"
"1044","-0.0513484813272953","-0.0513484813272953","-0.0513484813272953"
"1068","-0.04719148203730583","-0.04719148203730583","-0.04719148203730583"
"1091","-0.05996950715780258","-0.05996950715780258","-0.05996950715780258"
"1114","-0.05838065966963768","-0.05838065966963768","-0.05838065966963768"
"1137","-0.060087282210588455","-0.060087282210588455","-0.060087282210588455"
"1160","-0.05536340922117233","-0.05536340922117233","-0.05536340922117233"
"1184","-0.04938265308737755","-0.04938265308737755","-0.04938265308737755"
"1207","-0.05270612984895706","-0.05270612984895706","-0.05270612984895706"
"1230","-0.05536453425884247","-0.05536453425884247","-0.05536453425884247"
"1254","-0.04776938259601593","-0.04776938259601593","-0.04776938259601593"
"1278","-0.04300251975655556","-0.04300251975655556","-0.04300251975655556"
"1302","-0.042944058775901794","-0.042944058775901794","-0.042944058775901794"
"1326","-0.041216202080249786","-0.041216202080249786","-0.041216202080249786"
"1350","-0.04131440818309784","-0.04131440818309784","-0.04131440818309784"
"1374","-0.038406066596508026","-0.038406066596508026","-0.038406066596508026"
"1398","-0.04209119826555252","-0.04209119826555252","-0.04209119826555252"
"1420","-0.06737583130598068","-0.06737583130598068","-0.06737583130598068"
"1440","-0.10876359045505524","-0.10876359045505524","-0.10876359045505524"
"1461","-0.09851627796888351","-0.09851627796888351","-0.09851627796888351"
