"Step","obs_best_seed0/11-29_18-39 - train/stats.tracking_error","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MIN","obs_best_seed0/11-29_18-39 - train/stats.tracking_error__MAX"
"1","-0.42644134163856506","-0.42644134163856506","-0.42644134163856506"
"2","-0.42171186208724976","-0.42171186208724976","-0.42171186208724976"
"3","-0.42391645908355713","-0.42391645908355713","-0.42391645908355713"
"4","-0.42560818791389465","-0.42560818791389465","-0.42560818791389465"
"5","-0.4281656742095947","-0.4281656742095947","-0.4281656742095947"
"6","-0.42997291684150696","-0.42997291684150696","-0.42997291684150696"
"8","-0.43376609683036804","-0.43376609683036804","-0.43376609683036804"
"10","-0.43970006704330444","-0.43970006704330444","-0.43970006704330444"
"12","-0.44597578048706055","-0.44597578048706055","-0.44597578048706055"
"14","-0.45385491847991943","-0.45385491847991943","-0.45385491847991943"
"16","-0.459808886051178","-0.459808886051178","-0.459808886051178"
"19","-0.46578213572502136","-0.46578213572502136","-0.46578213572502136"
"25","-0.47417595982551575","-0.47417595982551575","-0.47417595982551575"
"48","-0.20881834626197815","-0.20881834626197815","-0.20881834626197815"
"72","-0.11725610494613647","-0.11725610494613647","-0.11725610494613647"
"96","-0.0978616327047348","-0.0978616327047348","-0.0978616327047348"
"120","-0.07936085760593414","-0.07936085760593414","-0.07936085760593414"
"144","-0.07693908363580704","-0.07693908363580704","-0.07693908363580704"
"168","-0.08610107749700546","-0.08610107749700546","-0.08610107749700546"
"193","-0.08093758672475815","-0.08093758672475815","-0.08093758672475815"
"219","-0.08184012025594711","-0.08184012025594711","-0.08184012025594711"
"251","-0.08583985269069672","-0.08583985269069672","-0.08583985269069672"
"275","-0.09006055444478989","-0.09006055444478989","-0.09006055444478989"
"299","-0.09133073687553406","-0.09133073687553406","-0.09133073687553406"
"323","-0.08990411460399628","-0.08990411460399628","-0.08990411460399628"
"331","-0.15828682482242584","-0.15828682482242584","-0.15828682482242584"
"350","-0.21029207110404968","-0.21029207110404968","-0.21029207110404968"
"371","-0.2255983203649521","-0.2255983203649521","-0.2255983203649521"
"378","-0.2062799334526062","-0.2062799334526062","-0.2062799334526062"
"398","-0.23301635682582855","-0.23301635682582855","-0.23301635682582855"
"401","-0.3428545594215393","-0.3428545594215393","-0.3428545594215393"
"404","-0.37815937399864197","-0.37815937399864197","-0.37815937399864197"
"413","-0.39915695786476135","-0.39915695786476135","-0.39915695786476135"
"422","-0.28639480471611023","-0.28639480471611023","-0.28639480471611023"
"427","-0.3160735070705414","-0.3160735070705414","-0.3160735070705414"
"433","-0.346930593252182","-0.346930593252182","-0.346930593252182"
"446","-0.29374048113822937","-0.29374048113822937","-0.29374048113822937"
"452","-0.28961795568466187","-0.28961795568466187","-0.28961795568466187"
"463","-0.3176322877407074","-0.3176322877407074","-0.3176322877407074"
"473","-0.2608673870563507","-0.2608673870563507","-0.2608673870563507"
"480","-0.27898553013801575","-0.27898553013801575","-0.27898553013801575"
"496","-0.25561174750328064","-0.25561174750328064","-0.25561174750328064"
"504","-0.2526189386844635","-0.2526189386844635","-0.2526189386844635"
"520","-0.2357310652732849","-0.2357310652732849","-0.2357310652732849"
"530","-0.23251524567604065","-0.23251524567604065","-0.23251524567604065"
"547","-0.20959250628948212","-0.20959250628948212","-0.20959250628948212"
"564","-0.21357019245624542","-0.21357019245624542","-0.21357019245624542"
"576","-0.1835523545742035","-0.1835523545742035","-0.1835523545742035"
"596","-0.16168218851089478","-0.16168218851089478","-0.16168218851089478"
"617","-0.14089657366275787","-0.14089657366275787","-0.14089657366275787"
"638","-0.12128625065088272","-0.12128625065088272","-0.12128625065088272"
"659","-0.10810704529285431","-0.10810704529285431","-0.10810704529285431"
"680","-0.08886519819498062","-0.08886519819498062","-0.08886519819498062"
"699","-0.09307732433080673","-0.09307732433080673","-0.09307732433080673"
"720","-0.09018880128860474","-0.09018880128860474","-0.09018880128860474"
"742","-0.08304379135370255","-0.08304379135370255","-0.08304379135370255"
"764","-0.07664928585290909","-0.07664928585290909","-0.07664928585290909"
"787","-0.06636586785316467","-0.06636586785316467","-0.06636586785316467"
"811","-0.052409734576940536","-0.052409734576940536","-0.052409734576940536"
"835","-0.04050414264202118","-0.04050414264202118","-0.04050414264202118"
"859","-0.0354972667992115","-0.0354972667992115","-0.0354972667992115"
"883","-0.032513152807950974","-0.032513152807950974","-0.032513152807950974"
