"Step","obs_critic_wot_seed1/11-29_10-38 - train/stats.tracking_error","obs_critic_wot_seed1/11-29_10-38 - train/stats.tracking_error__MIN","obs_critic_wot_seed1/11-29_10-38 - train/stats.tracking_error__MAX"
"1","-0.42560920119285583","-0.42560920119285583","-0.42560920119285583"
"2","-0.4225771129131317","-0.4225771129131317","-0.4225771129131317"
"3","-0.4233894646167755","-0.4233894646167755","-0.4233894646167755"
"4","-0.4256397783756256","-0.4256397783756256","-0.4256397783756256"
"5","-0.4269315004348755","-0.4269315004348755","-0.4269315004348755"
"7","-0.42941683530807495","-0.42941683530807495","-0.42941683530807495"
"9","-0.43442320823669434","-0.43442320823669434","-0.43442320823669434"
"11","-0.4404661953449249","-0.4404661953449249","-0.4404661953449249"
"13","-0.44713014364242554","-0.44713014364242554","-0.44713014364242554"
"15","-0.4525872766971588","-0.4525872766971588","-0.4525872766971588"
"17","-0.45450931787490845","-0.45450931787490845","-0.45450931787490845"
"20","-0.4604701101779938","-0.4604701101779938","-0.4604701101779938"
"40","-0.47520700097084045","-0.47520700097084045","-0.47520700097084045"
"64","-0.171402245759964","-0.171402245759964","-0.171402245759964"
"88","-0.11241135746240616","-0.11241135746240616","-0.11241135746240616"
"112","-0.08798015862703323","-0.08798015862703323","-0.08798015862703323"
"136","-0.07459346204996109","-0.07459346204996109","-0.07459346204996109"
"160","-0.0763995349407196","-0.0763995349407196","-0.0763995349407196"
"184","-0.07403729856014252","-0.07403729856014252","-0.07403729856014252"
"208","-0.0732397735118866","-0.0732397735118866","-0.0732397735118866"
"232","-0.07243295013904572","-0.07243295013904572","-0.07243295013904572"
"256","-0.06870318204164505","-0.06870318204164505","-0.06870318204164505"
"280","-0.07105223089456558","-0.07105223089456558","-0.07105223089456558"
"304","-0.07486296445131302","-0.07486296445131302","-0.07486296445131302"
"328","-0.07578443735837936","-0.07578443735837936","-0.07578443735837936"
"352","-0.0787406861782074","-0.0787406861782074","-0.0787406861782074"
"375","-0.13389717042446136","-0.13389717042446136","-0.13389717042446136"
"398","-0.12840114533901215","-0.12840114533901215","-0.12840114533901215"
"421","-0.10456763952970505","-0.10456763952970505","-0.10456763952970505"
"445","-0.10776622593402863","-0.10776622593402863","-0.10776622593402863"
"469","-0.0895143523812294","-0.0895143523812294","-0.0895143523812294"
"493","-0.0788801908493042","-0.0788801908493042","-0.0788801908493042"
"517","-0.07820642739534378","-0.07820642739534378","-0.07820642739534378"
"541","-0.07966134697198868","-0.07966134697198868","-0.07966134697198868"
"565","-0.08215534687042236","-0.08215534687042236","-0.08215534687042236"
"589","-0.07731077820062637","-0.07731077820062637","-0.07731077820062637"
"613","-0.07821127772331238","-0.07821127772331238","-0.07821127772331238"
