"Step","obs_quat_worotation/11-28_18-12 - train/stats.tracking_error","obs_quat_worotation/11-28_18-12 - train/stats.tracking_error__MIN","obs_quat_worotation/11-28_18-12 - train/stats.tracking_error__MAX"
"1","-0.42708122730255127","-0.42708122730255127","-0.42708122730255127"
"2","-0.4238664209842682","-0.4238664209842682","-0.4238664209842682"
"3","-0.4244060814380646","-0.4244060814380646","-0.4244060814380646"
"4","-0.42436641454696655","-0.42436641454696655","-0.42436641454696655"
"5","-0.42502954602241516","-0.42502954602241516","-0.42502954602241516"
"6","-0.4270058572292328","-0.4270058572292328","-0.4270058572292328"
"8","-0.4282287359237671","-0.4282287359237671","-0.4282287359237671"
"10","-0.43128180503845215","-0.43128180503845215","-0.43128180503845215"
"12","-0.4377445876598358","-0.4377445876598358","-0.4377445876598358"
"14","-0.444753497838974","-0.444753497838974","-0.444753497838974"
"16","-0.4523302912712097","-0.4523302912712097","-0.4523302912712097"
"19","-0.4581226408481598","-0.4581226408481598","-0.4581226408481598"
"23","-0.4574623107910156","-0.4574623107910156","-0.4574623107910156"
"44","-0.4155007004737854","-0.4155007004737854","-0.4155007004737854"
"67","-0.218243807554245","-0.218243807554245","-0.218243807554245"
"91","-0.1500495821237564","-0.1500495821237564","-0.1500495821237564"
"115","-0.10903950035572052","-0.10903950035572052","-0.10903950035572052"
"139","-0.08590789884328842","-0.08590789884328842","-0.08590789884328842"
"163","-0.0832088515162468","-0.0832088515162468","-0.0832088515162468"
"186","-0.11687450855970383","-0.11687450855970383","-0.11687450855970383"
"201","-0.19536679983139038","-0.19536679983139038","-0.19536679983139038"
"218","-0.14835000038146973","-0.14835000038146973","-0.14835000038146973"
"240","-0.13523513078689575","-0.13523513078689575","-0.13523513078689575"
"263","-0.1377219259738922","-0.1377219259738922","-0.1377219259738922"
"287","-0.1362270712852478","-0.1362270712852478","-0.1362270712852478"
"310","-0.11703258752822876","-0.11703258752822876","-0.11703258752822876"
"333","-0.11190339922904968","-0.11190339922904968","-0.11190339922904968"
"356","-0.09560425579547882","-0.09560425579547882","-0.09560425579547882"
"380","-0.08700066059827805","-0.08700066059827805","-0.08700066059827805"
"404","-0.07562721520662308","-0.07562721520662308","-0.07562721520662308"
"428","-0.0738210529088974","-0.0738210529088974","-0.0738210529088974"
"452","-0.07127951085567474","-0.07127951085567474","-0.07127951085567474"
"476","-0.06982898712158203","-0.06982898712158203","-0.06982898712158203"
"500","-0.06604910641908646","-0.06604910641908646","-0.06604910641908646"
"519","-0.20102298259735107","-0.20102298259735107","-0.20102298259735107"
"524","-0.3084600269794464","-0.3084600269794464","-0.3084600269794464"
"542","-0.25942984223365784","-0.25942984223365784","-0.25942984223365784"
"546","-0.28230249881744385","-0.28230249881744385","-0.28230249881744385"
"557","-0.31859302520751953","-0.31859302520751953","-0.31859302520751953"
"569","-0.22892165184020996","-0.22892165184020996","-0.22892165184020996"
"576","-0.27827146649360657","-0.27827146649360657","-0.27827146649360657"
"592","-0.22613294422626495","-0.22613294422626495","-0.22613294422626495"
"599","-0.24000492691993713","-0.24000492691993713","-0.24000492691993713"
"617","-0.20789538323879242","-0.20789538323879242","-0.20789538323879242"
"629","-0.2206297516822815","-0.2206297516822815","-0.2206297516822815"
"644","-0.18163171410560608","-0.18163171410560608","-0.18163171410560608"
"663","-0.19211708009243011","-0.19211708009243011","-0.19211708009243011"
"674","-0.18683713674545288","-0.18683713674545288","-0.18683713674545288"
"692","-0.16349653899669647","-0.16349653899669647","-0.16349653899669647"
"712","-0.17110575735569","-0.17110575735569","-0.17110575735569"
"729","-0.1683262437582016","-0.1683262437582016","-0.1683262437582016"
"743","-0.14573214948177338","-0.14573214948177338","-0.14573214948177338"
"763","-0.14651083946228027","-0.14651083946228027","-0.14651083946228027"
"784","-0.1476600021123886","-0.1476600021123886","-0.1476600021123886"
"804","-0.14069856703281403","-0.14069856703281403","-0.14069856703281403"
"820","-0.13307039439678192","-0.13307039439678192","-0.13307039439678192"
"838","-0.13203096389770508","-0.13203096389770508","-0.13203096389770508"
"859","-0.12660692632198334","-0.12660692632198334","-0.12660692632198334"
"881","-0.12491980195045471","-0.12491980195045471","-0.12491980195045471"
"903","-0.11403371393680573","-0.11403371393680573","-0.11403371393680573"
"925","-0.10980360209941864","-0.10980360209941864","-0.10980360209941864"
"947","-0.1026112362742424","-0.1026112362742424","-0.1026112362742424"
"969","-0.09619396179914474","-0.09619396179914474","-0.09619396179914474"
"990","-0.09291787445545197","-0.09291787445545197","-0.09291787445545197"
"1010","-0.0921618714928627","-0.0921618714928627","-0.0921618714928627"
"1032","-0.09109976887702942","-0.09109976887702942","-0.09109976887702942"
"1053","-0.10196298360824585","-0.10196298360824585","-0.10196298360824585"
"1075","-0.09897708147764206","-0.09897708147764206","-0.09897708147764206"
"1098","-0.08641009032726288","-0.08641009032726288","-0.08641009032726288"
"1121","-0.07912895828485489","-0.07912895828485489","-0.07912895828485489"
"1145","-0.06826198846101761","-0.06826198846101761","-0.06826198846101761"
"1169","-0.059637997299432755","-0.059637997299432755","-0.059637997299432755"
"1193","-0.05635314807295799","-0.05635314807295799","-0.05635314807295799"
"1217","-0.05169990286231041","-0.05169990286231041","-0.05169990286231041"
"1241","-0.04910547286272049","-0.04910547286272049","-0.04910547286272049"
"1265","-0.04743896797299385","-0.04743896797299385","-0.04743896797299385"
"1287","-0.08101503551006317","-0.08101503551006317","-0.08101503551006317"
"1307","-0.1320362091064453","-0.1320362091064453","-0.1320362091064453"
"1328","-0.14168155193328857","-0.14168155193328857","-0.14168155193328857"
"1349","-0.12942755222320557","-0.12942755222320557","-0.12942755222320557"
"1370","-0.114748515188694","-0.114748515188694","-0.114748515188694"
"1388","-0.11894799023866653","-0.11894799023866653","-0.11894799023866653"
"1407","-0.10179293900728226","-0.10179293900728226","-0.10179293900728226"
"1428","-0.09491093456745148","-0.09491093456745148","-0.09491093456745148"
"1450","-0.08872848004102707","-0.08872848004102707","-0.08872848004102707"
"1473","-0.08051883429288864","-0.08051883429288864","-0.08051883429288864"
"1496","-0.06999114155769348","-0.06999114155769348","-0.06999114155769348"
"1519","-0.06325260549783707","-0.06325260549783707","-0.06325260549783707"
"1542","-0.0766398087143898","-0.0766398087143898","-0.0766398087143898"
"1560","-0.18654555082321167","-0.18654555082321167","-0.18654555082321167"
"1575","-0.17002490162849426","-0.17002490162849426","-0.17002490162849426"
"1593","-0.15548814833164215","-0.15548814833164215","-0.15548814833164215"
"1612","-0.161532923579216","-0.161532923579216","-0.161532923579216"
"1631","-0.15025953948497772","-0.15025953948497772","-0.15025953948497772"
"1645","-0.17268408834934235","-0.17268408834934235","-0.17268408834934235"
"1664","-0.14012987911701202","-0.14012987911701202","-0.14012987911701202"
"1684","-0.12926681339740753","-0.12926681339740753","-0.12926681339740753"
"1705","-0.11392755061388016","-0.11392755061388016","-0.11392755061388016"
"1726","-0.10916959494352341","-0.10916959494352341","-0.10916959494352341"
"1746","-0.10305412113666534","-0.10305412113666534","-0.10305412113666534"
"1766","-0.09245837479829788","-0.09245837479829788","-0.09245837479829788"
"1787","-0.08376197516918182","-0.08376197516918182","-0.08376197516918182"
"1810","-0.07120876759290695","-0.07120876759290695","-0.07120876759290695"
"1833","-0.06150628253817558","-0.06150628253817558","-0.06150628253817558"
"1857","-0.0538974367082119","-0.0538974367082119","-0.0538974367082119"
"1878","-0.08749495446681976","-0.08749495446681976","-0.08749495446681976"
"1900","-0.08300063014030457","-0.08300063014030457","-0.08300063014030457"
"1923","-0.07704755663871765","-0.07704755663871765","-0.07704755663871765"
"1945","-0.08687034249305725","-0.08687034249305725","-0.08687034249305725"
"1968","-0.0844162255525589","-0.0844162255525589","-0.0844162255525589"
"1991","-0.07013941556215286","-0.07013941556215286","-0.07013941556215286"
"2015","-0.06619442254304886","-0.06619442254304886","-0.06619442254304886"
"2038","-0.07250606268644333","-0.07250606268644333","-0.07250606268644333"
"2061","-0.0712522491812706","-0.0712522491812706","-0.0712522491812706"
"2084","-0.08259455114603043","-0.08259455114603043","-0.08259455114603043"
"2106","-0.10251688957214355","-0.10251688957214355","-0.10251688957214355"
"2129","-0.07641098648309708","-0.07641098648309708","-0.07641098648309708"
"2152","-0.07000887393951416","-0.07000887393951416","-0.07000887393951416"
"2174","-0.08526261895895004","-0.08526261895895004","-0.08526261895895004"
"2195","-0.10284808278083801","-0.10284808278083801","-0.10284808278083801"
"2216","-0.09272433817386627","-0.09272433817386627","-0.09272433817386627"
"2237","-0.08891186118125916","-0.08891186118125916","-0.08891186118125916"
"2258","-0.08636511862277985","-0.08636511862277985","-0.08636511862277985"
"2281","-0.06453147530555725","-0.06453147530555725","-0.06453147530555725"
"2305","-0.058075111359357834","-0.058075111359357834","-0.058075111359357834"
"2329","-0.05153905972838402","-0.05153905972838402","-0.05153905972838402"
"2353","-0.04857001081109047","-0.04857001081109047","-0.04857001081109047"
"2377","-0.04556145891547203","-0.04556145891547203","-0.04556145891547203"
"2401","-0.043583374470472336","-0.043583374470472336","-0.043583374470472336"
"2425","-0.04606999456882477","-0.04606999456882477","-0.04606999456882477"
"2449","-0.04342944547533989","-0.04342944547533989","-0.04342944547533989"
"2473","-0.04008209705352783","-0.04008209705352783","-0.04008209705352783"
"2497","-0.03964785486459732","-0.03964785486459732","-0.03964785486459732"
"2521","-0.03853115439414978","-0.03853115439414978","-0.03853115439414978"
"2545","-0.038547810167074203","-0.038547810167074203","-0.038547810167074203"
"2569","-0.03846922889351845","-0.03846922889351845","-0.03846922889351845"
"2593","-0.03935972973704338","-0.03935972973704338","-0.03935972973704338"
"2617","-0.03744879364967346","-0.03744879364967346","-0.03744879364967346"
"2641","-0.04138658940792084","-0.04138658940792084","-0.04138658940792084"
"2665","-0.043500859290361404","-0.043500859290361404","-0.043500859290361404"
"2689","-0.041499704122543335","-0.041499704122543335","-0.041499704122543335"
"2713","-0.0405224934220314","-0.0405224934220314","-0.0405224934220314"
"2737","-0.04303804412484169","-0.04303804412484169","-0.04303804412484169"
"2761","-0.04151728376746178","-0.04151728376746178","-0.04151728376746178"
"2785","-0.04462425783276558","-0.04462425783276558","-0.04462425783276558"
"2809","-0.04530789703130722","-0.04530789703130722","-0.04530789703130722"
"2833","-0.04436859115958214","-0.04436859115958214","-0.04436859115958214"
"2857","-0.04606892541050911","-0.04606892541050911","-0.04606892541050911"
"2881","-0.046264443546533585","-0.046264443546533585","-0.046264443546533585"
"2905","-0.04336201399564743","-0.04336201399564743","-0.04336201399564743"
"2929","-0.04666896536946297","-0.04666896536946297","-0.04666896536946297"
"2953","-0.04377679154276848","-0.04377679154276848","-0.04377679154276848"
"2977","-0.040215253829956055","-0.040215253829956055","-0.040215253829956055"
"3001","-0.03641090914607048","-0.03641090914607048","-0.03641090914607048"
"3025","-0.03697463870048523","-0.03697463870048523","-0.03697463870048523"
"3049","-0.03492329269647598","-0.03492329269647598","-0.03492329269647598"
"3073","-0.03457236662507057","-0.03457236662507057","-0.03457236662507057"
"3097","-0.034529849886894226","-0.034529849886894226","-0.034529849886894226"
"3121","-0.0354800745844841","-0.0354800745844841","-0.0354800745844841"
"3145","-0.034084659069776535","-0.034084659069776535","-0.034084659069776535"
"3169","-0.033569928258657455","-0.033569928258657455","-0.033569928258657455"
"3193","-0.03516222909092903","-0.03516222909092903","-0.03516222909092903"
"3217","-0.03488665446639061","-0.03488665446639061","-0.03488665446639061"
"3241","-0.04119398817420006","-0.04119398817420006","-0.04119398817420006"
"3265","-0.03698526695370674","-0.03698526695370674","-0.03698526695370674"
"3289","-0.03697952255606651","-0.03697952255606651","-0.03697952255606651"
"3313","-0.03471343591809273","-0.03471343591809273","-0.03471343591809273"
"3337","-0.03363249823451042","-0.03363249823451042","-0.03363249823451042"
"3361","-0.034333545714616776","-0.034333545714616776","-0.034333545714616776"
"3385","-0.038144029676914215","-0.038144029676914215","-0.038144029676914215"
"3409","-0.037582237273454666","-0.037582237273454666","-0.037582237273454666"
"3433","-0.03470030054450035","-0.03470030054450035","-0.03470030054450035"
"3457","-0.03560806065797806","-0.03560806065797806","-0.03560806065797806"
"3481","-0.03632134571671486","-0.03632134571671486","-0.03632134571671486"
"3505","-0.03413362056016922","-0.03413362056016922","-0.03413362056016922"
"3529","-0.03521435335278511","-0.03521435335278511","-0.03521435335278511"
"3553","-0.03502416983246803","-0.03502416983246803","-0.03502416983246803"
"3577","-0.036886561661958694","-0.036886561661958694","-0.036886561661958694"
"3601","-0.04524514451622963","-0.04524514451622963","-0.04524514451622963"
"3625","-0.04616301506757736","-0.04616301506757736","-0.04616301506757736"
"3649","-0.04849677160382271","-0.04849677160382271","-0.04849677160382271"
"3673","-0.05183321237564087","-0.05183321237564087","-0.05183321237564087"
"3697","-0.05043882504105568","-0.05043882504105568","-0.05043882504105568"
"3721","-0.04904904216527939","-0.04904904216527939","-0.04904904216527939"
"3745","-0.05442037433385849","-0.05442037433385849","-0.05442037433385849"
"3768","-0.05941169708967209","-0.05941169708967209","-0.05941169708967209"
"3791","-0.058930300176143646","-0.058930300176143646","-0.058930300176143646"
"3814","-0.06022035330533981","-0.06022035330533981","-0.06022035330533981"
"3837","-0.05737670883536339","-0.05737670883536339","-0.05737670883536339"
"3860","-0.057617515325546265","-0.057617515325546265","-0.057617515325546265"
"3883","-0.06867104023694992","-0.06867104023694992","-0.06867104023694992"
"3906","-0.06741026788949966","-0.06741026788949966","-0.06741026788949966"
"3929","-0.061028141528367996","-0.061028141528367996","-0.061028141528367996"
"3953","-0.06217338889837265","-0.06217338889837265","-0.06217338889837265"
"3977","-0.053446851670742035","-0.053446851670742035","-0.053446851670742035"
"4001","-0.048782240599393845","-0.048782240599393845","-0.048782240599393845"
"4025","-0.04720199480652809","-0.04720199480652809","-0.04720199480652809"
"4049","-0.043184954673051834","-0.043184954673051834","-0.043184954673051834"
"4073","-0.0422133170068264","-0.0422133170068264","-0.0422133170068264"
"4097","-0.040880437940359116","-0.040880437940359116","-0.040880437940359116"
"4121","-0.03813495486974716","-0.03813495486974716","-0.03813495486974716"
"4145","-0.039098117500543594","-0.039098117500543594","-0.039098117500543594"
"4169","-0.03832509368658066","-0.03832509368658066","-0.03832509368658066"
"4193","-0.03888290375471115","-0.03888290375471115","-0.03888290375471115"
"4217","-0.039430540055036545","-0.039430540055036545","-0.039430540055036545"
"4241","-0.03820076957345009","-0.03820076957345009","-0.03820076957345009"
"4265","-0.040651846677064896","-0.040651846677064896","-0.040651846677064896"
"4289","-0.03860696777701378","-0.03860696777701378","-0.03860696777701378"
"4313","-0.037003062665462494","-0.037003062665462494","-0.037003062665462494"
"4337","-0.03891327977180481","-0.03891327977180481","-0.03891327977180481"
"4361","-0.039639536291360855","-0.039639536291360855","-0.039639536291360855"
"4385","-0.03776831552386284","-0.03776831552386284","-0.03776831552386284"
"4409","-0.041977591812610626","-0.041977591812610626","-0.041977591812610626"
"4433","-0.037950269877910614","-0.037950269877910614","-0.037950269877910614"
