"Step","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error__MIN","obs_wo_linearv/11-28_18-09 - train/stats.tracking_error__MAX"
"1","-0.42649924755096436","-0.42649924755096436","-0.42649924755096436"
"2","-0.42383256554603577","-0.42383256554603577","-0.42383256554603577"
"3","-0.42537444829940796","-0.42537444829940796","-0.42537444829940796"
"4","-0.42512136697769165","-0.42512136697769165","-0.42512136697769165"
"5","-0.4271848797798157","-0.4271848797798157","-0.4271848797798157"
"6","-0.42959389090538025","-0.42959389090538025","-0.42959389090538025"
"8","-0.4328729510307312","-0.4328729510307312","-0.4328729510307312"
"10","-0.4366617500782013","-0.4366617500782013","-0.4366617500782013"
"12","-0.4429597556591034","-0.4429597556591034","-0.4429597556591034"
"14","-0.4476727545261383","-0.4476727545261383","-0.4476727545261383"
"16","-0.4495299458503723","-0.4495299458503723","-0.4495299458503723"
"18","-0.4461345970630646","-0.4461345970630646","-0.4461345970630646"
"20","-0.434173047542572","-0.434173047542572","-0.434173047542572"
"22","-0.4235353171825409","-0.4235353171825409","-0.4235353171825409"
"25","-0.4197525084018707","-0.4197525084018707","-0.4197525084018707"
"28","-0.4166739881038666","-0.4166739881038666","-0.4166739881038666"
"31","-0.42685064673423767","-0.42685064673423767","-0.42685064673423767"
"35","-0.45353415608406067","-0.45353415608406067","-0.45353415608406067"
"39","-0.45927098393440247","-0.45927098393440247","-0.45927098393440247"
"44","-0.45476242899894714","-0.45476242899894714","-0.45476242899894714"
"50","-0.44969573616981506","-0.44969573616981506","-0.44969573616981506"
"58","-0.44694963097572327","-0.44694963097572327","-0.44694963097572327"
"68","-0.44861331582069397","-0.44861331582069397","-0.44861331582069397"
"82","-0.4483151435852051","-0.4483151435852051","-0.4483151435852051"
"98","-0.4284660220146179","-0.4284660220146179","-0.4284660220146179"
"115","-0.40961623191833496","-0.40961623191833496","-0.40961623191833496"
"133","-0.3930397033691406","-0.3930397033691406","-0.3930397033691406"
"151","-0.3780014216899872","-0.3780014216899872","-0.3780014216899872"
"170","-0.36669349670410156","-0.36669349670410156","-0.36669349670410156"
"189","-0.3529917001724243","-0.3529917001724243","-0.3529917001724243"
"209","-0.351286917924881","-0.351286917924881","-0.351286917924881"
"229","-0.34875282645225525","-0.34875282645225525","-0.34875282645225525"
"248","-0.3488689363002777","-0.3488689363002777","-0.3488689363002777"
"268","-0.343944251537323","-0.343944251537323","-0.343944251537323"
"288","-0.3395101726055145","-0.3395101726055145","-0.3395101726055145"
"308","-0.335862934589386","-0.335862934589386","-0.335862934589386"
"328","-0.33143800497055054","-0.33143800497055054","-0.33143800497055054"
"348","-0.3273828625679016","-0.3273828625679016","-0.3273828625679016"
"369","-0.3293403685092926","-0.3293403685092926","-0.3293403685092926"
"390","-0.328801691532135","-0.328801691532135","-0.328801691532135"
"411","-0.3317309319972992","-0.3317309319972992","-0.3317309319972992"
"432","-0.3293713331222534","-0.3293713331222534","-0.3293713331222534"
"453","-0.32503992319107056","-0.32503992319107056","-0.32503992319107056"
"474","-0.31988653540611267","-0.31988653540611267","-0.31988653540611267"
"495","-0.3179090619087219","-0.3179090619087219","-0.3179090619087219"
"516","-0.31416991353034973","-0.31416991353034973","-0.31416991353034973"
"537","-0.31723421812057495","-0.31723421812057495","-0.31723421812057495"
"558","-0.3167547285556793","-0.3167547285556793","-0.3167547285556793"
"579","-0.3131563067436218","-0.3131563067436218","-0.3131563067436218"
"601","-0.3105248212814331","-0.3105248212814331","-0.3105248212814331"
"622","-0.3125174641609192","-0.3125174641609192","-0.3125174641609192"
"643","-0.3093608021736145","-0.3093608021736145","-0.3093608021736145"
"664","-0.3105887770652771","-0.3105887770652771","-0.3105887770652771"
"685","-0.30929288268089294","-0.30929288268089294","-0.30929288268089294"
"706","-0.30859261751174927","-0.30859261751174927","-0.30859261751174927"
"727","-0.3096085488796234","-0.3096085488796234","-0.3096085488796234"
"748","-0.30652257800102234","-0.30652257800102234","-0.30652257800102234"
"769","-0.29892802238464355","-0.29892802238464355","-0.29892802238464355"
"790","-0.3001723289489746","-0.3001723289489746","-0.3001723289489746"
"811","-0.29814815521240234","-0.29814815521240234","-0.29814815521240234"
"832","-0.2911050319671631","-0.2911050319671631","-0.2911050319671631"
"854","-0.28888213634490967","-0.28888213634490967","-0.28888213634490967"
"875","-0.2839983105659485","-0.2839983105659485","-0.2839983105659485"
"896","-0.278362900018692","-0.278362900018692","-0.278362900018692"
"918","-0.2765514850616455","-0.2765514850616455","-0.2765514850616455"
"939","-0.2774917781352997","-0.2774917781352997","-0.2774917781352997"
