"Step","obs_wo_linearv_seed1/11-29_10-38 - train/stats.tracking_error","obs_wo_linearv_seed1/11-29_10-38 - train/stats.tracking_error__MIN","obs_wo_linearv_seed1/11-29_10-38 - train/stats.tracking_error__MAX"
"1","-0.42584019899368286","-0.42584019899368286","-0.42584019899368286"
"2","-0.42366427183151245","-0.42366427183151245","-0.42366427183151245"
"3","-0.4248514175415039","-0.4248514175415039","-0.4248514175415039"
"4","-0.4271373450756073","-0.4271373450756073","-0.4271373450756073"
"5","-0.42782968282699585","-0.42782968282699585","-0.42782968282699585"
"7","-0.4316922128200531","-0.4316922128200531","-0.4316922128200531"
"9","-0.4368307292461395","-0.4368307292461395","-0.4368307292461395"
"11","-0.4427431523799896","-0.4427431523799896","-0.4427431523799896"
"13","-0.44726115465164185","-0.44726115465164185","-0.44726115465164185"
"15","-0.45004406571388245","-0.45004406571388245","-0.45004406571388245"
"17","-0.44818824529647827","-0.44818824529647827","-0.44818824529647827"
"19","-0.4417075216770172","-0.4417075216770172","-0.4417075216770172"
"21","-0.43335098028182983","-0.43335098028182983","-0.43335098028182983"
"24","-0.4221116304397583","-0.4221116304397583","-0.4221116304397583"
"27","-0.4197860360145569","-0.4197860360145569","-0.4197860360145569"
"30","-0.43381553888320923","-0.43381553888320923","-0.43381553888320923"
"34","-0.45856213569641113","-0.45856213569641113","-0.45856213569641113"
"39","-0.46203264594078064","-0.46203264594078064","-0.46203264594078064"
"45","-0.4646730422973633","-0.4646730422973633","-0.4646730422973633"
"52","-0.45630165934562683","-0.45630165934562683","-0.45630165934562683"
"62","-0.4494788646697998","-0.4494788646697998","-0.4494788646697998"
"76","-0.4465562403202057","-0.4465562403202057","-0.4465562403202057"
"92","-0.42773279547691345","-0.42773279547691345","-0.42773279547691345"
"110","-0.4067763388156891","-0.4067763388156891","-0.4067763388156891"
"129","-0.3867796063423157","-0.3867796063423157","-0.3867796063423157"
"148","-0.3737318515777588","-0.3737318515777588","-0.3737318515777588"
"168","-0.3618088662624359","-0.3618088662624359","-0.3618088662624359"
"188","-0.35281968116760254","-0.35281968116760254","-0.35281968116760254"
"208","-0.3453713655471802","-0.3453713655471802","-0.3453713655471802"
"229","-0.33465224504470825","-0.33465224504470825","-0.33465224504470825"
"250","-0.3318735957145691","-0.3318735957145691","-0.3318735957145691"
"271","-0.3318905532360077","-0.3318905532360077","-0.3318905532360077"
"292","-0.3234974443912506","-0.3234974443912506","-0.3234974443912506"
"313","-0.3185946047306061","-0.3185946047306061","-0.3185946047306061"
"334","-0.3212345242500305","-0.3212345242500305","-0.3212345242500305"
"355","-0.31597068905830383","-0.31597068905830383","-0.31597068905830383"
"376","-0.31721848249435425","-0.31721848249435425","-0.31721848249435425"
"397","-0.31092438101768494","-0.31092438101768494","-0.31092438101768494"
"418","-0.30929505825042725","-0.30929505825042725","-0.30929505825042725"
"439","-0.30176684260368347","-0.30176684260368347","-0.30176684260368347"
"460","-0.297568142414093","-0.297568142414093","-0.297568142414093"
"481","-0.29854413866996765","-0.29854413866996765","-0.29854413866996765"
"502","-0.297707736492157","-0.297707736492157","-0.297707736492157"
"523","-0.2932799756526947","-0.2932799756526947","-0.2932799756526947"
"544","-0.292542427778244","-0.292542427778244","-0.292542427778244"
"566","-0.29039064049720764","-0.29039064049720764","-0.29039064049720764"
"587","-0.2883889377117157","-0.2883889377117157","-0.2883889377117157"
"608","-0.2850014567375183","-0.2850014567375183","-0.2850014567375183"
"629","-0.28207385540008545","-0.28207385540008545","-0.28207385540008545"
"650","-0.2839091122150421","-0.2839091122150421","-0.2839091122150421"
"672","-0.2853623032569885","-0.2853623032569885","-0.2853623032569885"
"693","-0.28305426239967346","-0.28305426239967346","-0.28305426239967346"
"715","-0.28024759888648987","-0.28024759888648987","-0.28024759888648987"
"736","-0.28008711338043213","-0.28008711338043213","-0.28008711338043213"
"758","-0.27647918462753296","-0.27647918462753296","-0.27647918462753296"
"780","-0.27694910764694214","-0.27694910764694214","-0.27694910764694214"
"802","-0.27487343549728394","-0.27487343549728394","-0.27487343549728394"
"823","-0.2744028568267822","-0.2744028568267822","-0.2744028568267822"
"845","-0.2717132866382599","-0.2717132866382599","-0.2717132866382599"
"866","-0.26820677518844604","-0.26820677518844604","-0.26820677518844604"
"888","-0.26606881618499756","-0.26606881618499756","-0.26606881618499756"
"910","-0.26252198219299316","-0.26252198219299316","-0.26252198219299316"
"932","-0.26208218932151794","-0.26208218932151794","-0.26208218932151794"
"954","-0.26315057277679443","-0.26315057277679443","-0.26315057277679443"
"976","-0.2637002766132355","-0.2637002766132355","-0.2637002766132355"
"998","-0.2635370194911957","-0.2635370194911957","-0.2635370194911957"
"1020","-0.26359862089157104","-0.26359862089157104","-0.26359862089157104"
"1042","-0.26341888308525085","-0.26341888308525085","-0.26341888308525085"
"1064","-0.26480036973953247","-0.26480036973953247","-0.26480036973953247"
"1086","-0.26013487577438354","-0.26013487577438354","-0.26013487577438354"
"1108","-0.2638452351093292","-0.2638452351093292","-0.2638452351093292"
"1130","-0.26039591431617737","-0.26039591431617737","-0.26039591431617737"
"1152","-0.25884532928466797","-0.25884532928466797","-0.25884532928466797"
"1174","-0.2583965063095093","-0.2583965063095093","-0.2583965063095093"
"1196","-0.2546839416027069","-0.2546839416027069","-0.2546839416027069"
"1218","-0.25502994656562805","-0.25502994656562805","-0.25502994656562805"
"1240","-0.2565346658229828","-0.2565346658229828","-0.2565346658229828"
"1262","-0.2521756589412689","-0.2521756589412689","-0.2521756589412689"
"1284","-0.25127488374710083","-0.25127488374710083","-0.25127488374710083"
"1306","-0.2450598031282425","-0.2450598031282425","-0.2450598031282425"
"1328","-0.2422609031200409","-0.2422609031200409","-0.2422609031200409"
"1350","-0.2336958795785904","-0.2336958795785904","-0.2336958795785904"
"1372","-0.22635258734226227","-0.22635258734226227","-0.22635258734226227"
"1394","-0.2262696772813797","-0.2262696772813797","-0.2262696772813797"
"1416","-0.23020872473716736","-0.23020872473716736","-0.23020872473716736"
"1438","-0.22857286036014557","-0.22857286036014557","-0.22857286036014557"
"1460","-0.22492615878582","-0.22492615878582","-0.22492615878582"
"1482","-0.22255384922027588","-0.22255384922027588","-0.22255384922027588"
"1504","-0.22191175818443298","-0.22191175818443298","-0.22191175818443298"
"1526","-0.22233796119689941","-0.22233796119689941","-0.22233796119689941"
"1548","-0.22054876387119293","-0.22054876387119293","-0.22054876387119293"
"1570","-0.21974101662635803","-0.21974101662635803","-0.21974101662635803"
"1592","-0.2180483490228653","-0.2180483490228653","-0.2180483490228653"
"1614","-0.21655479073524475","-0.21655479073524475","-0.21655479073524475"
"1636","-0.21713119745254517","-0.21713119745254517","-0.21713119745254517"
"1658","-0.21663685142993927","-0.21663685142993927","-0.21663685142993927"
"1680","-0.21347421407699585","-0.21347421407699585","-0.21347421407699585"
"1702","-0.20958289504051208","-0.20958289504051208","-0.20958289504051208"
"1724","-0.20749689638614655","-0.20749689638614655","-0.20749689638614655"
"1746","-0.20763777196407318","-0.20763777196407318","-0.20763777196407318"
"1768","-0.20456045866012573","-0.20456045866012573","-0.20456045866012573"
"1790","-0.20130647718906403","-0.20130647718906403","-0.20130647718906403"
"1812","-0.20262411236763","-0.20262411236763","-0.20262411236763"
"1835","-0.20100633800029755","-0.20100633800029755","-0.20100633800029755"
"1858","-0.19896157085895538","-0.19896157085895538","-0.19896157085895538"
"1881","-0.19775108993053436","-0.19775108993053436","-0.19775108993053436"
"1904","-0.19695661962032318","-0.19695661962032318","-0.19695661962032318"
"1927","-0.19884349405765533","-0.19884349405765533","-0.19884349405765533"
"1950","-0.1964840441942215","-0.1964840441942215","-0.1964840441942215"
"1973","-0.1975075751543045","-0.1975075751543045","-0.1975075751543045"
"1996","-0.19560962915420532","-0.19560962915420532","-0.19560962915420532"
"2019","-0.19687286019325256","-0.19687286019325256","-0.19687286019325256"
"2042","-0.19975103437900543","-0.19975103437900543","-0.19975103437900543"
"2065","-0.20094595849514008","-0.20094595849514008","-0.20094595849514008"
"2088","-0.2011566162109375","-0.2011566162109375","-0.2011566162109375"
"2111","-0.2008889615535736","-0.2008889615535736","-0.2008889615535736"
"2134","-0.19888527691364288","-0.19888527691364288","-0.19888527691364288"
"2157","-0.19845692813396454","-0.19845692813396454","-0.19845692813396454"
"2180","-0.19717364013195038","-0.19717364013195038","-0.19717364013195038"
"2203","-0.19602257013320923","-0.19602257013320923","-0.19602257013320923"
"2226","-0.18997280299663544","-0.18997280299663544","-0.18997280299663544"
"2249","-0.19136999547481537","-0.19136999547481537","-0.19136999547481537"
"2272","-0.1894894540309906","-0.1894894540309906","-0.1894894540309906"
"2295","-0.18724425137043","-0.18724425137043","-0.18724425137043"
"2318","-0.18811900913715363","-0.18811900913715363","-0.18811900913715363"
"2341","-0.19106008112430573","-0.19106008112430573","-0.19106008112430573"
"2364","-0.19017666578292847","-0.19017666578292847","-0.19017666578292847"
"2387","-0.19013747572898865","-0.19013747572898865","-0.19013747572898865"
"2410","-0.18658794462680817","-0.18658794462680817","-0.18658794462680817"
"2433","-0.1876305639743805","-0.1876305639743805","-0.1876305639743805"
"2456","-0.18814730644226074","-0.18814730644226074","-0.18814730644226074"
"2479","-0.1903434544801712","-0.1903434544801712","-0.1903434544801712"
"2502","-0.1885620504617691","-0.1885620504617691","-0.1885620504617691"
"2524","-0.19972065091133118","-0.19972065091133118","-0.19972065091133118"
"2543","-0.2361636757850647","-0.2361636757850647","-0.2361636757850647"
"2562","-0.23553168773651123","-0.23553168773651123","-0.23553168773651123"
"2581","-0.23378713428974152","-0.23378713428974152","-0.23378713428974152"
"2600","-0.23182891309261322","-0.23182891309261322","-0.23182891309261322"
"2619","-0.23108811676502228","-0.23108811676502228","-0.23108811676502228"
"2638","-0.2297903299331665","-0.2297903299331665","-0.2297903299331665"
"2657","-0.23169399797916412","-0.23169399797916412","-0.23169399797916412"
"2676","-0.22919826209545135","-0.22919826209545135","-0.22919826209545135"
"2695","-0.2310640960931778","-0.2310640960931778","-0.2310640960931778"
"2715","-0.22480334341526031","-0.22480334341526031","-0.22480334341526031"
"2735","-0.22434993088245392","-0.22434993088245392","-0.22434993088245392"
"2755","-0.22199474275112152","-0.22199474275112152","-0.22199474275112152"
"2775","-0.22182591259479523","-0.22182591259479523","-0.22182591259479523"
"2795","-0.21961262822151184","-0.21961262822151184","-0.21961262822151184"
"2815","-0.21827185153961182","-0.21827185153961182","-0.21827185153961182"
"2835","-0.2186320722103119","-0.2186320722103119","-0.2186320722103119"
"2855","-0.21659140288829803","-0.21659140288829803","-0.21659140288829803"
"2876","-0.21715489029884338","-0.21715489029884338","-0.21715489029884338"
"2897","-0.21740520000457764","-0.21740520000457764","-0.21740520000457764"
"2918","-0.2153812199831009","-0.2153812199831009","-0.2153812199831009"
"2939","-0.21103893220424652","-0.21103893220424652","-0.21103893220424652"
"2960","-0.21157525479793549","-0.21157525479793549","-0.21157525479793549"
"2981","-0.20956575870513916","-0.20956575870513916","-0.20956575870513916"
"3002","-0.2098354697227478","-0.2098354697227478","-0.2098354697227478"
"3023","-0.2101762294769287","-0.2101762294769287","-0.2101762294769287"
"3044","-0.20947135984897614","-0.20947135984897614","-0.20947135984897614"
"3065","-0.2101372629404068","-0.2101372629404068","-0.2101372629404068"
"3086","-0.20780575275421143","-0.20780575275421143","-0.20780575275421143"
"3107","-0.2079196721315384","-0.2079196721315384","-0.2079196721315384"
"3128","-0.20587389171123505","-0.20587389171123505","-0.20587389171123505"
"3149","-0.2021869570016861","-0.2021869570016861","-0.2021869570016861"
"3170","-0.20146691799163818","-0.20146691799163818","-0.20146691799163818"
"3191","-0.1992853879928589","-0.1992853879928589","-0.1992853879928589"
"3213","-0.1950664520263672","-0.1950664520263672","-0.1950664520263672"
"3234","-0.19590924680233002","-0.19590924680233002","-0.19590924680233002"
"3255","-0.19653239846229553","-0.19653239846229553","-0.19653239846229553"
"3276","-0.19498716294765472","-0.19498716294765472","-0.19498716294765472"
"3297","-0.19227953255176544","-0.19227953255176544","-0.19227953255176544"
"3319","-0.19205866754055023","-0.19205866754055023","-0.19205866754055023"
"3341","-0.1947813183069229","-0.1947813183069229","-0.1947813183069229"
"3363","-0.191849485039711","-0.191849485039711","-0.191849485039711"
"3385","-0.19076605141162872","-0.19076605141162872","-0.19076605141162872"
"3407","-0.19014473259449005","-0.19014473259449005","-0.19014473259449005"
"3429","-0.19217443466186523","-0.19217443466186523","-0.19217443466186523"
"3451","-0.1890036016702652","-0.1890036016702652","-0.1890036016702652"
"3473","-0.18923747539520264","-0.18923747539520264","-0.18923747539520264"
"3495","-0.191341832280159","-0.191341832280159","-0.191341832280159"
"3517","-0.19164900481700897","-0.19164900481700897","-0.19164900481700897"
"3539","-0.19163067638874054","-0.19163067638874054","-0.19163067638874054"
"3561","-0.19391480088233948","-0.19391480088233948","-0.19391480088233948"
"3583","-0.1916591227054596","-0.1916591227054596","-0.1916591227054596"
"3605","-0.19002757966518402","-0.19002757966518402","-0.19002757966518402"
"3627","-0.18884135782718658","-0.18884135782718658","-0.18884135782718658"
"3649","-0.1877005398273468","-0.1877005398273468","-0.1877005398273468"
"3671","-0.1862293928861618","-0.1862293928861618","-0.1862293928861618"
"3693","-0.1855052262544632","-0.1855052262544632","-0.1855052262544632"
"3716","-0.18417371809482574","-0.18417371809482574","-0.18417371809482574"
"3738","-0.18691684305667877","-0.18691684305667877","-0.18691684305667877"
"3760","-0.18874888122081757","-0.18874888122081757","-0.18874888122081757"
"3783","-0.18685133755207062","-0.18685133755207062","-0.18685133755207062"
"3806","-0.1844588667154312","-0.1844588667154312","-0.1844588667154312"
"3829","-0.18255554139614105","-0.18255554139614105","-0.18255554139614105"
