real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust
1731239009411951003,-0.004010876640677452,-0.00292845256626606,-0.0006625373498536646,0.0,1731239009412875916,1.2355173826217651,-2.512169361114502,-554.7478637695312,0.0
1731239009421480278,-0.008610946126282215,-0.0019713370129466057,-0.002464949619024992,0.0,1731239009425417306,1.2301709651947021,-2.508669137954712,-555.015380859375,0.0
1731239009431125668,-0.0038648159243166447,0.006443464662879705,-0.003604100551456213,0.0,1731239009434004582,1.251876950263977,-2.5030555725097656,-554.0742797851562,0.0
1731239009440657573,-0.0022622260730713606,0.003024417906999588,-0.003967487718909979,0.0,1731239009444225849,1.245260238647461,-2.5090384483337402,-554.2015991210938,0.0
1731239009451043171,-0.006530006881803274,-0.0010330970399081707,-0.005211108364164829,0.0,1731239009453307232,1.2379800081253052,-2.5137834548950195,-554.2874145507812,0.0
1731239009461950796,-0.005202180705964565,0.0012948288349434733,-0.005636880174279213,0.0,1731239009465247129,1.2429273128509521,-2.5080814361572266,-554.204833984375,0.0
1731239009470321060,-0.005549043416976929,-0.0016077036270871758,-0.005713784135878086,0.0,1731239009474746968,1.243596076965332,-2.509906053543091,-554.3037109375,0.0
1731239009480595717,-0.0019862826447933912,0.000777187233325094,-0.0014643223257735372,0.0,1731239009485308558,1.239193320274353,-2.50716233253479,-554.406982421875,0.0
1731239009490735069,-0.004905912559479475,-0.0038634855300188065,-0.00563037907704711,0.0,1731239009494406799,1.2294425964355469,-2.506476402282715,-554.6262817382812,0.0
1731239009500991022,-0.006527642719447613,-0.0006037351558916271,0.00021855797967873514,0.0,1731239009503935521,1.2211618423461914,-2.4952919483184814,-554.7142333984375,0.0
1731239009510936958,-0.0024775643832981586,0.0014312179991975427,-0.0024663121439516544,0.0,1731239009513525840,1.2174171209335327,-2.4920265674591064,-555.0697631835938,0.0
1731239009520633061,-0.00898696668446064,-8.753626025281847e-05,-0.0015038085402920842,0.0,1731239009524131004,1.2132424116134644,-2.4977383613586426,-555.1065063476562,0.0
1731239009531153614,-0.004477367270737886,0.003448578529059887,-0.000684531289152801,0.0,1731239009534679494,1.2389429807662964,-2.4967095851898193,-554.2133178710938,0.0
1731239009542330485,-0.002972162328660488,0.00392908975481987,-0.003352031111717224,0.0,1731239009544708848,1.1996314525604248,-2.4941649436950684,-554.3992919921875,0.0
1731239009549938464,-0.005363356322050095,-0.0041775875724852085,-0.0023528020828962326,0.0,1731239009555643054,1.1764694452285767,-2.493375301361084,-554.3075561523438,0.0
1731239009561274087,-0.004431083798408508,0.0019023983040824533,-0.00730742746964097,0.0,1731239009563570104,1.163797378540039,-2.479905366897583,-554.4354858398438,0.0
1731239009570022635,-0.001407961593940854,-0.004701156169176102,-0.003314137225970626,0.0,1731239009573871361,1.160470962524414,-2.4858622550964355,-554.396240234375,0.0
1731239009580738019,-0.005371992941945791,-0.0013308166526257992,-0.004562717862427235,0.0,1731239009584475833,1.1554771661758423,-2.4690487384796143,-554.5637817382812,0.0
1731239009590259018,-0.0007662358693778515,0.003762343665584922,0.0007585373241454363,0.0,1731239009595448882,1.1548336744308472,-2.466165781021118,-554.5805053710938,0.0
1731239009600764372,-0.00191774673294276,0.003469834104180336,-0.002611375879496336,0.0,1731239009603000601,1.1471943855285645,-2.4770359992980957,-554.81640625,0.0
1731239009610420819,-0.005784833803772926,0.0019227626034989953,-0.0010624893475323915,0.0,1731239009614730910,1.1420754194259644,-2.482567071914673,-554.7835693359375,0.0
1731239009621078616,-0.0012913044774904847,0.0001034338420140557,-0.0021355077624320984,0.0,1731239009623437082,1.1473312377929688,-2.4846549034118652,-554.8665771484375,0.0
1731239009630927095,-0.008058764040470123,-0.00281568244099617,-7.287473999895155e-05,0.0,1731239009633511819,1.1419392824172974,-2.4815778732299805,-554.8331298828125,0.0
1731239009641751467,-0.009383680298924446,0.004367465153336525,-0.0033096312545239925,0.0,1731239009644429394,1.143831491470337,-2.4802534580230713,-555.14453125,0.0
1731239009650406293,-0.0021740931551903486,-0.0004902869695797563,-0.0069311377592384815,0.0,1731239009653916217,1.168811559677124,-2.4926202297210693,-554.295166015625,0.0
1731239009660218625,-0.0050525907427072525,-3.107620796072297e-05,-0.00389019469730556,0.0,1731239009664287719,1.1612703800201416,-2.492201805114746,-554.3932495117188,0.0
1731239009671592732,-0.0025070994161069393,0.005696989130228758,-0.007150808349251747,0.0,1731239009674729488,1.1835395097732544,-2.493922710418701,-553.5029296875,0.0
1731239009681481878,-0.00260195997543633,0.0020331689156591892,-0.003130437573418021,0.0,1731239009683863196,1.177204966545105,-2.5058417320251465,-553.4779663085938,0.0
1731239009692405876,-0.00468137301504612,0.004324960056692362,-0.0019834560807794333,0.0,1731239009694693753,1.1749157905578613,-2.5146610736846924,-553.6994018554688,0.0
1731239009700409087,-0.006508072838187218,0.004735566210001707,-0.004246546421200037,0.0,1731239009704231635,1.17935049533844,-2.5288217067718506,-553.7409057617188,0.0
1731239009710473309,-0.0012666051043197513,-0.0011362048098817468,0.0012303389376029372,0.0,1731239009713828519,1.179803490638733,-2.528388738632202,-553.736083984375,0.0
1731239009720764809,-0.004174446687102318,0.00024195935111492872,-0.00234500621445477,0.0,1731239009723859933,1.1746621131896973,-2.522219181060791,-553.8932495117188,0.0
1731239009731015544,-0.00539302546530962,-0.0037697376683354378,-0.0023690005764365196,0.0,1731239009734099780,1.1786118745803833,-2.532562732696533,-554.1111450195312,0.0
1731239009740009260,-0.0050459085032343864,0.006477786228060722,-0.0019041105406358838,0.0,1731239009744963282,1.177520513534546,-2.526742458343506,-554.2684326171875,0.0
1731239009749835542,-0.0050410679541528225,-0.0005025521386414766,-0.0056893909350037575,0.0,1731239009753301435,1.1757155656814575,-2.537313938140869,-554.1243896484375,0.0
1731239009761666195,-0.0048468708992004395,0.004916809964925051,-0.003246074775233865,0.0,1731239009765135516,1.167852759361267,-2.533909559249878,-554.1611938476562,0.0
1731239009770028616,-0.006850158330053091,-0.00034798451815731823,0.0009301776881329715,0.0,1731239009773747959,1.1631819009780884,-2.5389060974121094,-554.148681640625,0.0
1731239009780508700,-0.005515712779015303,0.00010189384192926809,-0.004869083873927593,0.0,1731239009784724121,1.1580793857574463,-2.5404422283172607,-554.1337280273438,0.0
