real_rate.time,real_rate.r,real_rate.p,real_rate.y,real_rate.thrust,target_rate.time,target_rate.r,target_rate.p,target_rate.y,target_rate.thrust
1730195441130984753,-0.005377034656703472,-0.0011917257215827703,-0.0016731302021071315,0.0,1730195441132828314,-7.289999485015869,-2.1072375774383545,-844.4810180664062,0.0
1730195441141083286,-0.0010118454229086637,0.0024948560167104006,-0.001908184145577252,0.0,1730195441144677013,-7.281826019287109,-2.11957049369812,-844.603759765625,0.0
1730195441150291316,-0.005049972329288721,0.0003632555017247796,0.0015044473111629486,0.0,1730195441153057895,-7.330173015594482,-2.0908889770507812,-844.9718627929688,0.0
1730195441161178086,-0.0016018785536289215,0.0016699273837730289,-0.005235619843006134,0.0,1730195441162833965,-7.31369161605835,-2.0950045585632324,-844.2389526367188,0.0
1730195441170741520,-0.0007553843315690756,0.00498032383620739,0.0037086864467710257,0.0,1730195441173398591,-7.288815021514893,-2.092369318008423,-843.251220703125,0.0
1730195441180194667,0.0017565792659297585,-0.005132599733769894,-0.0010384762426838279,0.0,1730195441183943449,-7.312930583953857,-2.101133108139038,-843.3941040039062,0.0
1730195441190779305,0.0016501214122399688,-0.004745772108435631,0.0016560566145926714,0.0,1730195441192683483,-7.326130390167236,-2.0938236713409424,-843.7660522460938,0.0
1730195441201647124,-0.0031127631664276123,0.001850142958573997,0.0007937540067359805,0.0,1730195441203949498,-7.323252201080322,-2.082125425338745,-844.0999145507812,0.0
1730195441211909770,0.000693294801749289,-0.0015384262660518289,-0.000984035898000002,0.0,1730195441213224207,-7.317237854003906,-2.090285062789917,-844.2261962890625,0.0
1730195441220803305,-0.0033388442825526,-0.0028770959470421076,-0.0009540730388835073,0.0,1730195441223394269,-7.308383464813232,-2.093519926071167,-844.4215087890625,0.0
1730195441231166222,0.0012603944633156061,-0.0011024659033864737,-0.0015918522840365767,0.0,1730195441233610956,-7.307559013366699,-2.0877413749694824,-844.8436889648438,0.0
