"Step","obs_best_seed2/11-29_10-38 - train/stats.tracking_error","obs_best_seed2/11-29_10-38 - train/stats.tracking_error__MIN","obs_best_seed2/11-29_10-38 - train/stats.tracking_error__MAX"
"1","-0.42647451162338257","-0.42647451162338257","-0.42647451162338257"
"2","-0.4245721995830536","-0.4245721995830536","-0.4245721995830536"
"3","-0.4251927137374878","-0.4251927137374878","-0.4251927137374878"
"4","-0.4272969365119934","-0.4272969365119934","-0.4272969365119934"
"5","-0.42944779992103577","-0.42944779992103577","-0.42944779992103577"
"7","-0.43188637495040894","-0.43188637495040894","-0.43188637495040894"
"9","-0.4379482567310333","-0.4379482567310333","-0.4379482567310333"
"11","-0.44576871395111084","-0.44576871395111084","-0.44576871395111084"
"13","-0.4536933898925781","-0.4536933898925781","-0.4536933898925781"
"15","-0.46011269092559814","-0.46011269092559814","-0.46011269092559814"
"18","-0.46468934416770935","-0.46468934416770935","-0.46468934416770935"
"25","-0.48082128167152405","-0.48082128167152405","-0.48082128167152405"
"48","-0.1833266019821167","-0.1833266019821167","-0.1833266019821167"
"72","-0.11737670004367828","-0.11737670004367828","-0.11737670004367828"
"96","-0.09431445598602295","-0.09431445598602295","-0.09431445598602295"
"121","-0.07554981112480164","-0.07554981112480164","-0.07554981112480164"
"153","-0.06866402924060822","-0.06866402924060822","-0.06866402924060822"
"179","-0.06521971523761749","-0.06521971523761749","-0.06521971523761749"
"203","-0.06314937025308609","-0.06314937025308609","-0.06314937025308609"
"227","-0.062083080410957336","-0.062083080410957336","-0.062083080410957336"
"251","-0.0646980032324791","-0.0646980032324791","-0.0646980032324791"
"275","-0.07483372092247009","-0.07483372092247009","-0.07483372092247009"
"299","-0.07198981940746307","-0.07198981940746307","-0.07198981940746307"
"323","-0.07242710143327713","-0.07242710143327713","-0.07242710143327713"
"347","-0.070632204413414","-0.070632204413414","-0.070632204413414"
"371","-0.07245088368654251","-0.07245088368654251","-0.07245088368654251"
"395","-0.09853128343820572","-0.09853128343820572","-0.09853128343820572"
"418","-0.11694710701704025","-0.11694710701704025","-0.11694710701704025"
"441","-0.12509915232658386","-0.12509915232658386","-0.12509915232658386"
"464","-0.10874690115451813","-0.10874690115451813","-0.10874690115451813"
"488","-0.10023330897092819","-0.10023330897092819","-0.10023330897092819"
"512","-0.0829038918018341","-0.0829038918018341","-0.0829038918018341"
"536","-0.06915869563817978","-0.06915869563817978","-0.06915869563817978"
"560","-0.05957260727882385","-0.05957260727882385","-0.05957260727882385"
"584","-0.06792844831943512","-0.06792844831943512","-0.06792844831943512"
"608","-0.07608124613761902","-0.07608124613761902","-0.07608124613761902"
"632","-0.07144396007061005","-0.07144396007061005","-0.07144396007061005"
"655","-0.0872504934668541","-0.0872504934668541","-0.0872504934668541"
"678","-0.09331179410219193","-0.09331179410219193","-0.09331179410219193"
"701","-0.08087440580129623","-0.08087440580129623","-0.08087440580129623"
"724","-0.07679072767496109","-0.07679072767496109","-0.07679072767496109"
"748","-0.07249817252159119","-0.07249817252159119","-0.07249817252159119"
"772","-0.06317086517810822","-0.06317086517810822","-0.06317086517810822"
"796","-0.05402277782559395","-0.05402277782559395","-0.05402277782559395"
"820","-0.06330501288175583","-0.06330501288175583","-0.06330501288175583"
"843","-0.09094428271055222","-0.09094428271055222","-0.09094428271055222"
"866","-0.08977729082107544","-0.08977729082107544","-0.08977729082107544"
"889","-0.07899495214223862","-0.07899495214223862","-0.07899495214223862"
"913","-0.06675777584314346","-0.06675777584314346","-0.06675777584314346"
"937","-0.06627854704856873","-0.06627854704856873","-0.06627854704856873"
"961","-0.057046785950660706","-0.057046785950660706","-0.057046785950660706"
"985","-0.05015216022729874","-0.05015216022729874","-0.05015216022729874"
"1009","-0.050798606127500534","-0.050798606127500534","-0.050798606127500534"
"1033","-0.04330778121948242","-0.04330778121948242","-0.04330778121948242"
"1056","-0.058215800672769547","-0.058215800672769547","-0.058215800672769547"
"1079","-0.060451339930295944","-0.060451339930295944","-0.060451339930295944"
"1103","-0.05295168235898018","-0.05295168235898018","-0.05295168235898018"
"1127","-0.055740900337696075","-0.055740900337696075","-0.055740900337696075"
"1150","-0.10049239546060562","-0.10049239546060562","-0.10049239546060562"
"1173","-0.06343570351600647","-0.06343570351600647","-0.06343570351600647"
"1197","-0.059673476964235306","-0.059673476964235306","-0.059673476964235306"
"1220","-0.07813931256532669","-0.07813931256532669","-0.07813931256532669"
"1243","-0.07346853613853455","-0.07346853613853455","-0.07346853613853455"
"1266","-0.06708413362503052","-0.06708413362503052","-0.06708413362503052"
"1290","-0.06071335822343826","-0.06071335822343826","-0.06071335822343826"
"1313","-0.05991416051983833","-0.05991416051983833","-0.05991416051983833"
"1337","-0.04791058972477913","-0.04791058972477913","-0.04791058972477913"
"1359","-0.08996818214654922","-0.08996818214654922","-0.08996818214654922"
"1381","-0.12330681085586548","-0.12330681085586548","-0.12330681085586548"
"1402","-0.100168377161026","-0.100168377161026","-0.100168377161026"
"1420","-0.07900890707969666","-0.07900890707969666","-0.07900890707969666"
"1439","-0.07687349617481232","-0.07687349617481232","-0.07687349617481232"
"1461","-0.06602596491575241","-0.06602596491575241","-0.06602596491575241"
"1484","-0.05568436533212662","-0.05568436533212662","-0.05568436533212662"
"1507","-0.048424459993839264","-0.048424459993839264","-0.048424459993839264"
"1531","-0.043189454823732376","-0.043189454823732376","-0.043189454823732376"
