"Step","obs_critic_wot/11-28_18-05 - train/stats.tracking_error","obs_critic_wot/11-28_18-05 - train/stats.tracking_error__MIN","obs_critic_wot/11-28_18-05 - train/stats.tracking_error__MAX"
"1","-0.42643943428993225","-0.42643943428993225","-0.42643943428993225"
"2","-0.4217950999736786","-0.4217950999736786","-0.4217950999736786"
"3","-0.42399096488952637","-0.42399096488952637","-0.42399096488952637"
"4","-0.4261515736579895","-0.4261515736579895","-0.4261515736579895"
"5","-0.4275103211402893","-0.4275103211402893","-0.4275103211402893"
"6","-0.42988425493240356","-0.42988425493240356","-0.42988425493240356"
"8","-0.4329926073551178","-0.4329926073551178","-0.4329926073551178"
"10","-0.43836304545402527","-0.43836304545402527","-0.43836304545402527"
"12","-0.4458410143852234","-0.4458410143852234","-0.4458410143852234"
"14","-0.4542127251625061","-0.4542127251625061","-0.4542127251625061"
"16","-0.4595194160938263","-0.4595194160938263","-0.4595194160938263"
"19","-0.4648177921772003","-0.4648177921772003","-0.4648177921772003"
"24","-0.47158682346343994","-0.47158682346343994","-0.47158682346343994"
"48","-0.23938877880573273","-0.23938877880573273","-0.23938877880573273"
"72","-0.11289773881435394","-0.11289773881435394","-0.11289773881435394"
"96","-0.09214264154434204","-0.09214264154434204","-0.09214264154434204"
"120","-0.08322355896234512","-0.08322355896234512","-0.08322355896234512"
"144","-0.08026250451803207","-0.08026250451803207","-0.08026250451803207"
"168","-0.0762641429901123","-0.0762641429901123","-0.0762641429901123"
"192","-0.07975606620311737","-0.07975606620311737","-0.07975606620311737"
"217","-0.07597264647483826","-0.07597264647483826","-0.07597264647483826"
"240","-0.08511576801538467","-0.08511576801538467","-0.08511576801538467"
"264","-0.08338610082864761","-0.08338610082864761","-0.08338610082864761"
"288","-0.08361322432756424","-0.08361322432756424","-0.08361322432756424"
"313","-0.08020832389593124","-0.08020832389593124","-0.08020832389593124"
"339","-0.07407181710004807","-0.07407181710004807","-0.07407181710004807"
"368","-0.07426083087921143","-0.07426083087921143","-0.07426083087921143"
"392","-0.06783214211463928","-0.06783214211463928","-0.06783214211463928"
"416","-0.06672624498605728","-0.06672624498605728","-0.06672624498605728"
"440","-0.06913294643163681","-0.06913294643163681","-0.06913294643163681"
"464","-0.0671730563044548","-0.0671730563044548","-0.0671730563044548"
"488","-0.06599140912294388","-0.06599140912294388","-0.06599140912294388"
"512","-0.06765087693929672","-0.06765087693929672","-0.06765087693929672"
"536","-0.07223592698574066","-0.07223592698574066","-0.07223592698574066"
"560","-0.0889761745929718","-0.0889761745929718","-0.0889761745929718"
"584","-0.07385322451591492","-0.07385322451591492","-0.07385322451591492"
"608","-0.07405198365449905","-0.07405198365449905","-0.07405198365449905"
"632","-0.07614102214574814","-0.07614102214574814","-0.07614102214574814"
"656","-0.07683201879262924","-0.07683201879262924","-0.07683201879262924"
"680","-0.07812656462192535","-0.07812656462192535","-0.07812656462192535"
"704","-0.07866691052913666","-0.07866691052913666","-0.07866691052913666"
"728","-0.07685450464487076","-0.07685450464487076","-0.07685450464487076"
"752","-0.08322876691818237","-0.08322876691818237","-0.08322876691818237"
"776","-0.08953878283500671","-0.08953878283500671","-0.08953878283500671"
"800","-0.0867016613483429","-0.0867016613483429","-0.0867016613483429"
"824","-0.07909310609102249","-0.07909310609102249","-0.07909310609102249"
"848","-0.08155262470245361","-0.08155262470245361","-0.08155262470245361"
"872","-0.08138587325811386","-0.08138587325811386","-0.08138587325811386"
"897","-0.07941899448633194","-0.07941899448633194","-0.07941899448633194"
"923","-0.07737693935632706","-0.07737693935632706","-0.07737693935632706"
"951","-0.08098642528057098","-0.08098642528057098","-0.08098642528057098"
"978","-0.08380935341119766","-0.08380935341119766","-0.08380935341119766"
"1002","-0.08525768667459488","-0.08525768667459488","-0.08525768667459488"
"1026","-0.08244926482439041","-0.08244926482439041","-0.08244926482439041"
"1050","-0.08044008910655975","-0.08044008910655975","-0.08044008910655975"
"1074","-0.0770578384399414","-0.0770578384399414","-0.0770578384399414"
"1098","-0.07914680242538452","-0.07914680242538452","-0.07914680242538452"
"1122","-0.07951129972934723","-0.07951129972934723","-0.07951129972934723"
"1146","-0.07824970036745071","-0.07824970036745071","-0.07824970036745071"
"1170","-0.0809662789106369","-0.0809662789106369","-0.0809662789106369"
"1194","-0.07821021974086761","-0.07821021974086761","-0.07821021974086761"
"1218","-0.07490402460098267","-0.07490402460098267","-0.07490402460098267"
"1242","-0.07368547469377518","-0.07368547469377518","-0.07368547469377518"
"1266","-0.0739925280213356","-0.0739925280213356","-0.0739925280213356"
"1290","-0.07408852875232697","-0.07408852875232697","-0.07408852875232697"
"1314","-0.07562711834907532","-0.07562711834907532","-0.07562711834907532"
"1338","-0.07513636350631714","-0.07513636350631714","-0.07513636350631714"
"1362","-0.07271835207939148","-0.07271835207939148","-0.07271835207939148"
"1386","-0.07237417250871658","-0.07237417250871658","-0.07237417250871658"
"1410","-0.07768503576517105","-0.07768503576517105","-0.07768503576517105"
"1434","-0.07711980491876602","-0.07711980491876602","-0.07711980491876602"
"1459","-0.07538308203220367","-0.07538308203220367","-0.07538308203220367"
"1484","-0.0770295113325119","-0.0770295113325119","-0.0770295113325119"
"1509","-0.07652515172958374","-0.07652515172958374","-0.07652515172958374"
"1536","-0.07417967915534973","-0.07417967915534973","-0.07417967915534973"
"1562","-0.07512839883565903","-0.07512839883565903","-0.07512839883565903"
"1587","-0.0736188143491745","-0.0736188143491745","-0.0736188143491745"
"1611","-0.07429363578557968","-0.07429363578557968","-0.07429363578557968"
"1635","-0.07548363506793976","-0.07548363506793976","-0.07548363506793976"
"1659","-0.07650529593229294","-0.07650529593229294","-0.07650529593229294"
"1683","-0.07599155604839325","-0.07599155604839325","-0.07599155604839325"
"1707","-0.07641363143920898","-0.07641363143920898","-0.07641363143920898"
"1731","-0.07847359776496887","-0.07847359776496887","-0.07847359776496887"
"1755","-0.07708355039358139","-0.07708355039358139","-0.07708355039358139"
"1779","-0.0757451057434082","-0.0757451057434082","-0.0757451057434082"
"1803","-0.0726393312215805","-0.0726393312215805","-0.0726393312215805"
"1827","-0.07109854370355606","-0.07109854370355606","-0.07109854370355606"
"1851","-0.07086125761270523","-0.07086125761270523","-0.07086125761270523"
"1875","-0.0730976089835167","-0.0730976089835167","-0.0730976089835167"
"1899","-0.07423607259988785","-0.07423607259988785","-0.07423607259988785"
"1923","-0.0753253772854805","-0.0753253772854805","-0.0753253772854805"
"1947","-0.07561808079481125","-0.07561808079481125","-0.07561808079481125"
"1971","-0.07258817553520203","-0.07258817553520203","-0.07258817553520203"
"1995","-0.07332034409046173","-0.07332034409046173","-0.07332034409046173"
"2019","-0.07467930018901825","-0.07467930018901825","-0.07467930018901825"
"2043","-0.07573802769184113","-0.07573802769184113","-0.07573802769184113"
"2067","-0.07727047055959702","-0.07727047055959702","-0.07727047055959702"
"2091","-0.07889776676893234","-0.07889776676893234","-0.07889776676893234"
"2115","-0.0822080746293068","-0.0822080746293068","-0.0822080746293068"
"2139","-0.08292968571186066","-0.08292968571186066","-0.08292968571186066"
"2163","-0.082443006336689","-0.082443006336689","-0.082443006336689"
"2188","-0.08111210912466049","-0.08111210912466049","-0.08111210912466049"
"2213","-0.08340445160865784","-0.08340445160865784","-0.08340445160865784"
"2239","-0.08367779850959778","-0.08367779850959778","-0.08367779850959778"
"2265","-0.08249980956315994","-0.08249980956315994","-0.08249980956315994"
"2290","-0.08450444787740707","-0.08450444787740707","-0.08450444787740707"
"2315","-0.0780128464102745","-0.0780128464102745","-0.0780128464102745"
"2339","-0.07838544249534607","-0.07838544249534607","-0.07838544249534607"
"2363","-0.07778459787368774","-0.07778459787368774","-0.07778459787368774"
"2387","-0.0763724073767662","-0.0763724073767662","-0.0763724073767662"
"2411","-0.07590434700250626","-0.07590434700250626","-0.07590434700250626"
"2435","-0.07404305785894394","-0.07404305785894394","-0.07404305785894394"
"2459","-0.07659445703029633","-0.07659445703029633","-0.07659445703029633"
"2483","-0.07890068739652634","-0.07890068739652634","-0.07890068739652634"
"2507","-0.08072172850370407","-0.08072172850370407","-0.08072172850370407"
"2531","-0.08258204162120819","-0.08258204162120819","-0.08258204162120819"
"2555","-0.08620575070381165","-0.08620575070381165","-0.08620575070381165"
"2579","-0.0844637081027031","-0.0844637081027031","-0.0844637081027031"
"2603","-0.07968851178884506","-0.07968851178884506","-0.07968851178884506"
"2627","-0.07855045795440674","-0.07855045795440674","-0.07855045795440674"
"2651","-0.07892923802137375","-0.07892923802137375","-0.07892923802137375"
"2675","-0.07828496396541595","-0.07828496396541595","-0.07828496396541595"
"2699","-0.07843957096338272","-0.07843957096338272","-0.07843957096338272"
"2723","-0.0793774351477623","-0.0793774351477623","-0.0793774351477623"
"2747","-0.07605186849832535","-0.07605186849832535","-0.07605186849832535"
