"Step","obs_quat_worotation_seed1/11-29_11-02 - train/stats.tracking_error","obs_quat_worotation_seed1/11-29_11-02 - train/stats.tracking_error__MIN","obs_quat_worotation_seed1/11-29_11-02 - train/stats.tracking_error__MAX"
"1","-0.4252880811691284","-0.4252880811691284","-0.4252880811691284"
"2","-0.422595351934433","-0.422595351934433","-0.422595351934433"
"3","-0.42339861392974854","-0.42339861392974854","-0.42339861392974854"
"4","-0.4257197380065918","-0.4257197380065918","-0.4257197380065918"
"5","-0.4248100817203522","-0.4248100817203522","-0.4248100817203522"
"6","-0.42784857749938965","-0.42784857749938965","-0.42784857749938965"
"8","-0.4290923476219177","-0.4290923476219177","-0.4290923476219177"
"10","-0.434608519077301","-0.434608519077301","-0.434608519077301"
"12","-0.4392484128475189","-0.4392484128475189","-0.4392484128475189"
"14","-0.44655001163482666","-0.44655001163482666","-0.44655001163482666"
"16","-0.45351076126098633","-0.45351076126098633","-0.45351076126098633"
"19","-0.4575011432170868","-0.4575011432170868","-0.4575011432170868"
"23","-0.45416635274887085","-0.45416635274887085","-0.45416635274887085"
"45","-0.39392757415771484","-0.39392757415771484","-0.39392757415771484"
"68","-0.21298553049564362","-0.21298553049564362","-0.21298553049564362"
"92","-0.14343246817588806","-0.14343246817588806","-0.14343246817588806"
"116","-0.10695867240428925","-0.10695867240428925","-0.10695867240428925"
"140","-0.08666826039552689","-0.08666826039552689","-0.08666826039552689"
"164","-0.08408883213996887","-0.08408883213996887","-0.08408883213996887"
"188","-0.0849757120013237","-0.0849757120013237","-0.0849757120013237"
"212","-0.0761590376496315","-0.0761590376496315","-0.0761590376496315"
"236","-0.08117242902517319","-0.08117242902517319","-0.08117242902517319"
"260","-0.08296208828687668","-0.08296208828687668","-0.08296208828687668"
"284","-0.07485797256231308","-0.07485797256231308","-0.07485797256231308"
"308","-0.07162321358919144","-0.07162321358919144","-0.07162321358919144"
"332","-0.06882849335670471","-0.06882849335670471","-0.06882849335670471"
"356","-0.07534970343112946","-0.07534970343112946","-0.07534970343112946"
"380","-0.07831253856420517","-0.07831253856420517","-0.07831253856420517"
"404","-0.06834503263235092","-0.06834503263235092","-0.06834503263235092"
"427","-0.07542994618415833","-0.07542994618415833","-0.07542994618415833"
"451","-0.07455762475728989","-0.07455762475728989","-0.07455762475728989"
"473","-0.11746612191200256","-0.11746612191200256","-0.11746612191200256"
"495","-0.12699100375175476","-0.12699100375175476","-0.12699100375175476"
"518","-0.11245963722467422","-0.11245963722467422","-0.11245963722467422"
"541","-0.09928539395332336","-0.09928539395332336","-0.09928539395332336"
"564","-0.09415572881698608","-0.09415572881698608","-0.09415572881698608"
"588","-0.092032290995121","-0.092032290995121","-0.092032290995121"
"612","-0.09420794993638992","-0.09420794993638992","-0.09420794993638992"
"636","-0.09784266352653503","-0.09784266352653503","-0.09784266352653503"
"660","-0.09439215809106827","-0.09439215809106827","-0.09439215809106827"
"683","-0.1065426766872406","-0.1065426766872406","-0.1065426766872406"
"707","-0.09544970840215683","-0.09544970840215683","-0.09544970840215683"
"731","-0.08027540147304535","-0.08027540147304535","-0.08027540147304535"
"754","-0.09522399306297302","-0.09522399306297302","-0.09522399306297302"
"777","-0.09340386837720871","-0.09340386837720871","-0.09340386837720871"
"800","-0.07809675484895706","-0.07809675484895706","-0.07809675484895706"
"824","-0.07186629623174667","-0.07186629623174667","-0.07186629623174667"
"848","-0.06805539131164551","-0.06805539131164551","-0.06805539131164551"
"872","-0.0674184188246727","-0.0674184188246727","-0.0674184188246727"
"892","-0.16999971866607666","-0.16999971866607666","-0.16999971866607666"
"898","-0.2778800129890442","-0.2778800129890442","-0.2778800129890442"
"914","-0.27516812086105347","-0.27516812086105347","-0.27516812086105347"
"921","-0.23711642622947693","-0.23711642622947693","-0.23711642622947693"
"937","-0.25102514028549194","-0.25102514028549194","-0.25102514028549194"
"947","-0.20192170143127441","-0.20192170143127441","-0.20192170143127441"
"966","-0.1891319751739502","-0.1891319751739502","-0.1891319751739502"
"985","-0.16829147934913635","-0.16829147934913635","-0.16829147934913635"
"1002","-0.11411076784133911","-0.11411076784133911","-0.11411076784133911"
"1021","-0.10762626677751541","-0.10762626677751541","-0.10762626677751541"
"1042","-0.10589226335287094","-0.10589226335287094","-0.10589226335287094"
"1064","-0.09445406496524811","-0.09445406496524811","-0.09445406496524811"
"1087","-0.09372788667678833","-0.09372788667678833","-0.09372788667678833"
"1110","-0.0988764688372612","-0.0988764688372612","-0.0988764688372612"
"1133","-0.08903477340936661","-0.08903477340936661","-0.08903477340936661"
"1156","-0.08079574257135391","-0.08079574257135391","-0.08079574257135391"
"1180","-0.07054459303617477","-0.07054459303617477","-0.07054459303617477"
"1204","-0.05663337931036949","-0.05663337931036949","-0.05663337931036949"
"1228","-0.05877780169248581","-0.05877780169248581","-0.05877780169248581"
"1252","-0.04877597093582153","-0.04877597093582153","-0.04877597093582153"
"1276","-0.04401373863220215","-0.04401373863220215","-0.04401373863220215"
"1300","-0.04670434817671776","-0.04670434817671776","-0.04670434817671776"
"1324","-0.04383731633424759","-0.04383731633424759","-0.04383731633424759"
"1348","-0.039637092500925064","-0.039637092500925064","-0.039637092500925064"
"1372","-0.037527598440647125","-0.037527598440647125","-0.037527598440647125"
"1396","-0.037976816296577454","-0.037976816296577454","-0.037976816296577454"
"1420","-0.038537926971912384","-0.038537926971912384","-0.038537926971912384"
"1444","-0.036434583365917206","-0.036434583365917206","-0.036434583365917206"
"1468","-0.03656934201717377","-0.03656934201717377","-0.03656934201717377"
"1492","-0.043593354523181915","-0.043593354523181915","-0.043593354523181915"
"1516","-0.04156239703297615","-0.04156239703297615","-0.04156239703297615"
"1536","-0.10107023268938065","-0.10107023268938065","-0.10107023268938065"
"1556","-0.13692522048950195","-0.13692522048950195","-0.13692522048950195"
"1576","-0.13306991755962372","-0.13306991755962372","-0.13306991755962372"
"1596","-0.11729925125837326","-0.11729925125837326","-0.11729925125837326"
"1613","-0.11003059893846512","-0.11003059893846512","-0.11003059893846512"
"1633","-0.10885792225599289","-0.10885792225599289","-0.10885792225599289"
"1655","-0.10548177361488342","-0.10548177361488342","-0.10548177361488342"
"1678","-0.0865786150097847","-0.0865786150097847","-0.0865786150097847"
"1701","-0.0757019892334938","-0.0757019892334938","-0.0757019892334938"
"1725","-0.06522887945175171","-0.06522887945175171","-0.06522887945175171"
"1749","-0.06889703124761581","-0.06889703124761581","-0.06889703124761581"
"1773","-0.06731264293193817","-0.06731264293193817","-0.06731264293193817"
"1797","-0.06510690599679947","-0.06510690599679947","-0.06510690599679947"
"1820","-0.07125629484653473","-0.07125629484653473","-0.07125629484653473"
"1843","-0.0700906366109848","-0.0700906366109848","-0.0700906366109848"
"1867","-0.06284213811159134","-0.06284213811159134","-0.06284213811159134"
"1891","-0.0637718141078949","-0.0637718141078949","-0.0637718141078949"
"1915","-0.058571480214595795","-0.058571480214595795","-0.058571480214595795"
"1937","-0.079532690346241","-0.079532690346241","-0.079532690346241"
"1959","-0.08658908307552338","-0.08658908307552338","-0.08658908307552338"
"1982","-0.07627595961093903","-0.07627595961093903","-0.07627595961093903"
"2005","-0.07233893126249313","-0.07233893126249313","-0.07233893126249313"
"2028","-0.06761396676301956","-0.06761396676301956","-0.06761396676301956"
"2048","-0.11812042444944382","-0.11812042444944382","-0.11812042444944382"
"2069","-0.10001888871192932","-0.10001888871192932","-0.10001888871192932"
"2090","-0.0821421891450882","-0.0821421891450882","-0.0821421891450882"
"2112","-0.07194796204566956","-0.07194796204566956","-0.07194796204566956"
"2134","-0.06000430881977081","-0.06000430881977081","-0.06000430881977081"
"2157","-0.05796585604548454","-0.05796585604548454","-0.05796585604548454"
"2180","-0.06127934157848358","-0.06127934157848358","-0.06127934157848358"
"2203","-0.054837290197610855","-0.054837290197610855","-0.054837290197610855"
"2226","-0.046847499907016754","-0.046847499907016754","-0.046847499907016754"
"2250","-0.04591834545135498","-0.04591834545135498","-0.04591834545135498"
"2274","-0.04264337569475174","-0.04264337569475174","-0.04264337569475174"
"2298","-0.04338689520955086","-0.04338689520955086","-0.04338689520955086"
"2322","-0.04246916621923447","-0.04246916621923447","-0.04246916621923447"
"2346","-0.04081587865948677","-0.04081587865948677","-0.04081587865948677"
"2370","-0.0382378026843071","-0.0382378026843071","-0.0382378026843071"
"2394","-0.03754401206970215","-0.03754401206970215","-0.03754401206970215"
"2418","-0.035703253000974655","-0.035703253000974655","-0.035703253000974655"
"2442","-0.034782297909259796","-0.034782297909259796","-0.034782297909259796"
"2466","-0.03456420078873634","-0.03456420078873634","-0.03456420078873634"
"2490","-0.03422434628009796","-0.03422434628009796","-0.03422434628009796"
"2514","-0.03424723073840141","-0.03424723073840141","-0.03424723073840141"
