"Step","obs_wo_linearv_seed2/11-30_15-20 - train/stats.tracking_error","obs_wo_linearv_seed2/11-30_15-20 - train/stats.tracking_error__MIN","obs_wo_linearv_seed2/11-30_15-20 - train/stats.tracking_error__MAX"
"1","-0.42619386315345764","-0.42619386315345764","-0.42619386315345764"
"2","-0.4241059720516205","-0.4241059720516205","-0.4241059720516205"
"3","-0.42505887150764465","-0.42505887150764465","-0.42505887150764465"
"4","-0.42630016803741455","-0.42630016803741455","-0.42630016803741455"
"5","-0.4286283254623413","-0.4286283254623413","-0.4286283254623413"
"7","-0.43063661456108093","-0.43063661456108093","-0.43063661456108093"
"9","-0.43548086285591125","-0.43548086285591125","-0.43548086285591125"
"11","-0.4410547614097595","-0.4410547614097595","-0.4410547614097595"
"13","-0.4465119242668152","-0.4465119242668152","-0.4465119242668152"
"15","-0.4466783106327057","-0.4466783106327057","-0.4466783106327057"
"17","-0.4440920054912567","-0.4440920054912567","-0.4440920054912567"
"19","-0.439920037984848","-0.439920037984848","-0.439920037984848"
"21","-0.42939940094947815","-0.42939940094947815","-0.42939940094947815"
"24","-0.41834577918052673","-0.41834577918052673","-0.41834577918052673"
"27","-0.4161951243877411","-0.4161951243877411","-0.4161951243877411"
"30","-0.4307900369167328","-0.4307900369167328","-0.4307900369167328"
"34","-0.45420604944229126","-0.45420604944229126","-0.45420604944229126"
"38","-0.4512999355792999","-0.4512999355792999","-0.4512999355792999"
"43","-0.43638280034065247","-0.43638280034065247","-0.43638280034065247"
"49","-0.43821385502815247","-0.43821385502815247","-0.43821385502815247"
"57","-0.4356760084629059","-0.4356760084629059","-0.4356760084629059"
"68","-0.43400874733924866","-0.43400874733924866","-0.43400874733924866"
"81","-0.43903693556785583","-0.43903693556785583","-0.43903693556785583"
"97","-0.4350277781486511","-0.4350277781486511","-0.4350277781486511"
"115","-0.4174570143222809","-0.4174570143222809","-0.4174570143222809"
"134","-0.3969148099422455","-0.3969148099422455","-0.3969148099422455"
"153","-0.38110047578811646","-0.38110047578811646","-0.38110047578811646"
"173","-0.36577484011650085","-0.36577484011650085","-0.36577484011650085"
"193","-0.35587671399116516","-0.35587671399116516","-0.35587671399116516"
"213","-0.35418105125427246","-0.35418105125427246","-0.35418105125427246"
"233","-0.34794896841049194","-0.34794896841049194","-0.34794896841049194"
"253","-0.3387930989265442","-0.3387930989265442","-0.3387930989265442"
"274","-0.3284585475921631","-0.3284585475921631","-0.3284585475921631"
"295","-0.32198989391326904","-0.32198989391326904","-0.32198989391326904"
"316","-0.31190577149391174","-0.31190577149391174","-0.31190577149391174"
"337","-0.304450660943985","-0.304450660943985","-0.304450660943985"
"358","-0.30024394392967224","-0.30024394392967224","-0.30024394392967224"
"380","-0.2954942286014557","-0.2954942286014557","-0.2954942286014557"
"402","-0.2911538779735565","-0.2911538779735565","-0.2911538779735565"
"424","-0.28419774770736694","-0.28419774770736694","-0.28419774770736694"
"445","-0.28113463521003723","-0.28113463521003723","-0.28113463521003723"
"467","-0.28183847665786743","-0.28183847665786743","-0.28183847665786743"
"489","-0.28440675139427185","-0.28440675139427185","-0.28440675139427185"
"511","-0.28785333037376404","-0.28785333037376404","-0.28785333037376404"
"533","-0.2817337214946747","-0.2817337214946747","-0.2817337214946747"
"555","-0.27961593866348267","-0.27961593866348267","-0.27961593866348267"
"577","-0.28144994378089905","-0.28144994378089905","-0.28144994378089905"
"599","-0.2847488522529602","-0.2847488522529602","-0.2847488522529602"
"621","-0.2885217070579529","-0.2885217070579529","-0.2885217070579529"
"643","-0.29230114817619324","-0.29230114817619324","-0.29230114817619324"
"665","-0.29230475425720215","-0.29230475425720215","-0.29230475425720215"
"687","-0.2927638590335846","-0.2927638590335846","-0.2927638590335846"
"709","-0.29094821214675903","-0.29094821214675903","-0.29094821214675903"
"731","-0.28734996914863586","-0.28734996914863586","-0.28734996914863586"
"753","-0.28690603375434875","-0.28690603375434875","-0.28690603375434875"
"775","-0.28268691897392273","-0.28268691897392273","-0.28268691897392273"
"797","-0.28232961893081665","-0.28232961893081665","-0.28232961893081665"
"819","-0.28123655915260315","-0.28123655915260315","-0.28123655915260315"
"841","-0.2759019434452057","-0.2759019434452057","-0.2759019434452057"
"863","-0.27636274695396423","-0.27636274695396423","-0.27636274695396423"
"885","-0.2738870680332184","-0.2738870680332184","-0.2738870680332184"
"907","-0.26700079441070557","-0.26700079441070557","-0.26700079441070557"
"929","-0.2591574192047119","-0.2591574192047119","-0.2591574192047119"
"951","-0.25995954871177673","-0.25995954871177673","-0.25995954871177673"
"973","-0.25958648324012756","-0.25958648324012756","-0.25958648324012756"
"995","-0.25971800088882446","-0.25971800088882446","-0.25971800088882446"
"1017","-0.2576361894607544","-0.2576361894607544","-0.2576361894607544"
"1039","-0.2554927468299866","-0.2554927468299866","-0.2554927468299866"
"1061","-0.2562195062637329","-0.2562195062637329","-0.2562195062637329"
"1084","-0.25396421551704407","-0.25396421551704407","-0.25396421551704407"
